observation,potato_cpi
7/1/2016,128.3
8/1/2016,136.3
9/1/2016,116.6
10/1/2016,105.5
11/1/2016,113.8
12/1/2016,110.9
1/1/2017,110.2
2/1/2017,104.6
3/1/2017,110.1
4/1/2017,121.5
5/1/2017,120.8
6/1/2017,149
7/1/2017,157.3
8/1/2017,201.8
9/1/2017,192.6
10/1/2017,147.8
11/1/2017,166.6
12/1/2017,167.4
1/1/2018,166.3
2/1/2018,156.3
3/1/2018,149
4/1/2018,160.2
5/1/2018,166.7
6/1/2018,171.8
7/1/2018,171.8
8/1/2018,181.7
9/1/2018,148.2
10/1/2018,135.4
11/1/2018,140
12/1/2018,142.2
1/1/2019,159.9
2/1/2019,173.7
3/1/2019,184.9
4/1/2019,185.2
5/1/2019,176.5
6/1/2019,184.3
7/1/2019,188.4
8/1/2019,255.5
9/1/2019,214.4
10/1/2019,181.3
11/1/2019,220.8
12/1/2019,224
1/1/2020,229.6
2/1/2020,229.9
3/1/2020,229.9
4/1/2020,216
5/1/2020,178.1
6/1/2020,182.1
7/1/2020,233.3
8/1/2020,253
9/1/2020,178.4
10/1/2020,170.8
11/1/2020,173.5
12/1/2020,164.9
1/1/2021,157.2
2/1/2021,156.9
3/1/2021,149.3
4/1/2021,153.4
5/1/2021,154.9
6/1/2021,171.7
7/1/2021,181.4
8/1/2021,223.5
