month,forward
Jul20,3.425
Sep20,3.435
Dec20,3.535
Mar21,3.65
May21,3.7075
Jul21,3.7475
Sep21,3.6775
Dec21,3.74
Mar22,3.8275
May22,3.88
Jul22,3.9175
Sep22,3.8075
Dec22,3.8125
