"","date","series_id","value","realtime_start","realtime_end"
"189",2015-09-01,"APUS37A72610",0.124,2025-02-05,2025-02-05
"190",2015-10-01,"APUS37A72610",0.122,2025-02-05,2025-02-05
"191",2015-11-01,"APUS37A72610",0.116,2025-02-05,2025-02-05
"192",2015-12-01,"APUS37A72610",0.116,2025-02-05,2025-02-05
"193",2016-01-01,"APUS37A72610",0.116,2025-02-05,2025-02-05
"194",2016-02-01,"APUS37A72610",0.116,2025-02-05,2025-02-05
"195",2016-03-01,"APUS37A72610",0.111,2025-02-05,2025-02-05
"196",2016-04-01,"APUS37A72610",0.111,2025-02-05,2025-02-05
"197",2016-05-01,"APUS37A72610",0.112,2025-02-05,2025-02-05
"198",2016-06-01,"APUS37A72610",0.116,2025-02-05,2025-02-05
"199",2016-07-01,"APUS37A72610",0.116,2025-02-05,2025-02-05
"200",2016-08-01,"APUS37A72610",0.119,2025-02-05,2025-02-05
"201",2016-09-01,"APUS37A72610",0.117,2025-02-05,2025-02-05
"202",2016-10-01,"APUS37A72610",0.117,2025-02-05,2025-02-05
"203",2016-11-01,"APUS37A72610",0.112,2025-02-05,2025-02-05
"204",2016-12-01,"APUS37A72610",0.112,2025-02-05,2025-02-05
"205",2017-01-01,"APUS37A72610",0.112,2025-02-05,2025-02-05
"206",2017-02-01,"APUS37A72610",0.112,2025-02-05,2025-02-05
"207",2017-03-01,"APUS37A72610",0.112,2025-02-05,2025-02-05
"208",2017-04-01,"APUS37A72610",0.112,2025-02-05,2025-02-05
"209",2017-05-01,"APUS37A72610",0.128,2025-02-05,2025-02-05
"210",2017-06-01,"APUS37A72610",0.128,2025-02-05,2025-02-05
"211",2017-07-01,"APUS37A72610",0.128,2025-02-05,2025-02-05
"212",2017-08-01,"APUS37A72610",0.128,2025-02-05,2025-02-05
"213",2017-09-01,"APUS37A72610",0.128,2025-02-05,2025-02-05
"214",2017-10-01,"APUS37A72610",0.128,2025-02-05,2025-02-05
"215",2017-11-01,"APUS37A72610",0.127,2025-02-05,2025-02-05
"216",2017-12-01,"APUS37A72610",0.126,2025-02-05,2025-02-05
"217",2018-01-01,"APUS37A72610",0.126,2025-02-05,2025-02-05
"218",2018-02-01,"APUS37A72610",0.126,2025-02-05,2025-02-05
"219",2018-03-01,"APUS37A72610",0.124,2025-02-05,2025-02-05
"220",2018-04-01,"APUS37A72610",0.132,2025-02-05,2025-02-05
"221",2018-05-01,"APUS37A72610",0.133,2025-02-05,2025-02-05
"222",2018-06-01,"APUS37A72610",0.142,2025-02-05,2025-02-05
"223",2018-07-01,"APUS37A72610",0.142,2025-02-05,2025-02-05
"224",2018-08-01,"APUS37A72610",0.142,2025-02-05,2025-02-05
"225",2018-09-01,"APUS37A72610",0.136,2025-02-05,2025-02-05
"226",2018-10-01,"APUS37A72610",0.136,2025-02-05,2025-02-05
"227",2018-11-01,"APUS37A72610",0.136,2025-02-05,2025-02-05
"228",2018-12-01,"APUS37A72610",0.136,2025-02-05,2025-02-05
"229",2019-01-01,"APUS37A72610",0.141,2025-02-05,2025-02-05
"230",2019-02-01,"APUS37A72610",0.141,2025-02-05,2025-02-05
"231",2019-03-01,"APUS37A72610",0.142,2025-02-05,2025-02-05
"232",2019-04-01,"APUS37A72610",0.142,2025-02-05,2025-02-05
"233",2019-05-01,"APUS37A72610",0.142,2025-02-05,2025-02-05
"234",2019-06-01,"APUS37A72610",0.142,2025-02-05,2025-02-05
"235",2019-07-01,"APUS37A72610",0.142,2025-02-05,2025-02-05
"236",2019-08-01,"APUS37A72610",0.142,2025-02-05,2025-02-05
"237",2019-09-01,"APUS37A72610",0.143,2025-02-05,2025-02-05
"238",2019-10-01,"APUS37A72610",0.143,2025-02-05,2025-02-05
"239",2019-11-01,"APUS37A72610",0.142,2025-02-05,2025-02-05
"240",2019-12-01,"APUS37A72610",0.142,2025-02-05,2025-02-05
"241",2020-01-01,"APUS37A72610",0.141,2025-02-05,2025-02-05
"242",2020-02-01,"APUS37A72610",0.137,2025-02-05,2025-02-05
"243",2020-03-01,"APUS37A72610",0.134,2025-02-05,2025-02-05
"244",2020-04-01,"APUS37A72610",0.134,2025-02-05,2025-02-05
"245",2020-05-01,"APUS37A72610",0.136,2025-02-05,2025-02-05
"246",2020-06-01,"APUS37A72610",0.136,2025-02-05,2025-02-05
"247",2020-07-01,"APUS37A72610",0.135,2025-02-05,2025-02-05
"248",2020-08-01,"APUS37A72610",0.133,2025-02-05,2025-02-05
"249",2020-09-01,"APUS37A72610",0.132,2025-02-05,2025-02-05
"250",2020-10-01,"APUS37A72610",0.132,2025-02-05,2025-02-05
"251",2020-11-01,"APUS37A72610",0.13,2025-02-05,2025-02-05
"252",2020-12-01,"APUS37A72610",0.13,2025-02-05,2025-02-05
"253",2021-01-01,"APUS37A72610",0.131,2025-02-05,2025-02-05
"254",2021-02-01,"APUS37A72610",0.131,2025-02-05,2025-02-05
"255",2021-03-01,"APUS37A72610",0.128,2025-02-05,2025-02-05
"256",2021-04-01,"APUS37A72610",0.127,2025-02-05,2025-02-05
"257",2021-05-01,"APUS37A72610",0.128,2025-02-05,2025-02-05
"258",2021-06-01,"APUS37A72610",0.129,2025-02-05,2025-02-05
"259",2021-07-01,"APUS37A72610",0.133,2025-02-05,2025-02-05
"260",2021-08-01,"APUS37A72610",0.144,2025-02-05,2025-02-05
"261",2021-09-01,"APUS37A72610",0.152,2025-02-05,2025-02-05
"262",2021-10-01,"APUS37A72610",0.153,2025-02-05,2025-02-05
"263",2021-11-01,"APUS37A72610",0.153,2025-02-05,2025-02-05
"264",2021-12-01,"APUS37A72610",0.154,2025-02-05,2025-02-05
"265",2022-01-01,"APUS37A72610",0.161,2025-02-05,2025-02-05
"266",2022-02-01,"APUS37A72610",0.162,2025-02-05,2025-02-05
"267",2022-03-01,"APUS37A72610",0.162,2025-02-05,2025-02-05
"268",2022-04-01,"APUS37A72610",0.162,2025-02-05,2025-02-05
"269",2022-05-01,"APUS37A72610",0.164,2025-02-05,2025-02-05
"270",2022-06-01,"APUS37A72610",0.174,2025-02-05,2025-02-05
"271",2022-07-01,"APUS37A72610",0.196,2025-02-05,2025-02-05
"272",2022-08-01,"APUS37A72610",0.196,2025-02-05,2025-02-05
"273",2022-09-01,"APUS37A72610",0.199,2025-02-05,2025-02-05
"274",2022-10-01,"APUS37A72610",0.199,2025-02-05,2025-02-05
"275",2022-11-01,"APUS37A72610",0.183,2025-02-05,2025-02-05
"276",2022-12-01,"APUS37A72610",0.183,2025-02-05,2025-02-05
"277",2023-01-01,"APUS37A72610",0.178,2025-02-05,2025-02-05
"278",2023-02-01,"APUS37A72610",0.178,2025-02-05,2025-02-05
"279",2023-03-01,"APUS37A72610",0.16,2025-02-05,2025-02-05
"280",2023-04-01,"APUS37A72610",0.159,2025-02-05,2025-02-05
"281",2023-05-01,"APUS37A72610",0.16,2025-02-05,2025-02-05
"282",2023-06-01,"APUS37A72610",0.164,2025-02-05,2025-02-05
"283",2023-07-01,"APUS37A72610",0.164,2025-02-05,2025-02-05
"284",2023-08-01,"APUS37A72610",0.157,2025-02-05,2025-02-05
"285",2023-09-01,"APUS37A72610",0.168,2025-02-05,2025-02-05
"286",2023-10-01,"APUS37A72610",0.169,2025-02-05,2025-02-05
"287",2023-11-01,"APUS37A72610",0.182,2025-02-05,2025-02-05
"288",2023-12-01,"APUS37A72610",0.182,2025-02-05,2025-02-05
"289",2024-01-01,"APUS37A72610",0.182,2025-02-05,2025-02-05
"290",2024-02-01,"APUS37A72610",0.182,2025-02-05,2025-02-05
"291",2024-03-01,"APUS37A72610",0.175,2025-02-05,2025-02-05
"292",2024-04-01,"APUS37A72610",0.177,2025-02-05,2025-02-05
"293",2024-05-01,"APUS37A72610",0.183,2025-02-05,2025-02-05
"294",2024-06-01,"APUS37A72610",0.185,2025-02-05,2025-02-05
"295",2024-07-01,"APUS37A72610",0.191,2025-02-05,2025-02-05
"296",2024-08-01,"APUS37A72610",0.191,2025-02-05,2025-02-05
"297",2024-09-01,"APUS37A72610",0.184,2025-02-05,2025-02-05
"298",2024-10-01,"APUS37A72610",0.196,2025-02-05,2025-02-05
"299",2024-11-01,"APUS37A72610",0.195,2025-02-05,2025-02-05
"300",2024-12-01,"APUS37A72610",0.196,2025-02-05,2025-02-05
