stock1,stock2,stock3,stock4,stock5,stock6,stock7,stock8
12.75785101,9.136408098,5.56635509,1.748745015,13.82875157,9.747961067,5.650179899,1.656722089
12.75785101,9.224127,5.625784653,1.844217431,12.68445783,9.232486797,5.795046669,2.342419423
12.75785101,9.140118978,5.54877866,2.028519884,12.93566765,9.341027231,5.708618326,2.047892808
12.75785101,9.477471989,6.147966015,2.617497343,13.07951207,9.443591547,5.80232018,1.999003331
12.75785101,9.187336059,5.601026849,1.985187215,12.09311023,8.529872013,4.986954397,1.661500038
12.75785101,9.396929901,6.042770357,2.636784677,13.01690248,9.407054227,5.869077168,2.480801088
12.75785101,9.249329725,5.793460917,1.965743709,12.38656104,8.530740851,4.685855138,0.925681476
12.75785101,8.599006221,4.511635015,0.264535301,13.89717049,9.523744394,5.206129709,1.00416676
12.75785101,8.978411395,5.234119244,1.325529624,13.7621479,9.523472757,5.297719429,1.374781714
12.75785101,9.189883618,5.640967688,2.029492936,12.65149638,9.354163911,5.969225023,2.336880968
12.75785101,9.183275448,5.613907534,1.504207608,13.54641948,9.560408999,5.687509086,1.775414804
12.75785101,8.761735403,4.741070544,0.728045397,13.3712804,9.560300692,5.687364315,1.799390226
12.75785101,9.131267177,5.447492753,1.433342246,12.51207547,8.471798119,4.611741121,0.951245086
12.75785101,8.760075678,4.772185509,0.77147315,12.52505703,8.846854759,5.141596453,1.45185776
12.75785101,8.941005303,5.220982898,1.59589502,11.96250364,8.409295404,4.818128917,1.229894528
12.75785101,9.043575449,5.429755443,2.009083445,12.35112918,9.030681141,5.493839458,2.225443526
12.75785101,9.235992175,5.715771584,2.03522848,12.96169102,9.153648806,5.473417085,1.997625374
12.75785101,9.252555734,5.720764732,2.17568656,12.61897611,9.253245554,5.906151367,2.613951039
12.75785101,9.379866591,5.916412411,2.294566541,12.71464696,9.212473523,5.743395683,2.172472016
12.75785101,9.510625774,6.155345796,2.741989282,13.07833138,9.56230646,6.049461962,2.323138828
12.75785101,9.160600893,5.592819701,2.023957047,12.78561079,9.227658356,5.664786432,2.00605391
12.75785101,9.035633609,5.314447166,0.98246643,14.27819831,9.823662617,5.509081367,1.23030925
12.75785101,9.017870775,5.430618656,1.74047871,13.52948735,9.816527474,6.090094377,2.59690814
12.75785101,9.034842406,5.272970923,1.589474268,11.82365612,8.158923998,4.545200914,1.167253477
12.75785101,9.273352039,5.825268895,2.7467062,11.28446296,8.158233003,5.066529071,2.202639457
12.75785101,9.213267855,5.714416028,2.641568288,12.80006305,9.430607409,6.114992521,2.391949011
12.75785101,9.267297626,5.707433048,1.864697386,14.47666317,10.4982135,6.445760663,2.443296712
12.75785101,9.483202401,6.266654443,2.928159816,11.41463565,8.151101074,4.865381481,1.675527094
12.75785101,9.161654917,5.557266192,1.747805086,13.62819057,9.86431214,6.134903924,2.523929725
12.75785101,9.144628543,5.579123298,2.15013963,14.00040566,10.27218902,6.519488552,2.742859813
12.75785101,9.161449706,5.618321482,1.849194208,12.68351782,9.097057706,5.636030472,2.063675453
12.75785101,8.894356624,5.100541875,1.42902672,12.59992151,8.990486834,5.504026342,2.137129489
12.75785101,9.270561219,5.810629912,2.215166299,12.02260136,8.182729754,4.504224152,0.842185386
12.75785101,9.145484938,5.508717162,2.134482091,11.49648412,8.049539995,4.686162485,1.311812054
12.75785101,9.219548723,5.712497812,2.072694978,13.52536043,9.875196693,6.34489293,2.720624179
12.75785101,9.068925995,5.415020965,1.477268924,13.0118063,9.124482007,5.265934177,1.467964225
12.75785101,8.799073661,4.880115971,1.471746773,11.97055378,8.631739467,5.266917934,1.812977494
12.75785101,9.050113286,5.356445477,2.018808961,11.13292262,7.945384877,4.875232632,1.742018839
12.75785101,9.56180433,6.253655214,2.88806197,11.63978114,8.282584811,4.952620802,1.841246622
12.75785101,8.553158352,4.394827153,0.432445371,14.19328231,10.37785541,6.460796528,2.53805806
12.75785101,9.491248488,6.172503104,2.535655586,13.30724042,9.493817888,5.665713531,1.744956379
12.75785101,8.924464091,5.161417026,1.620048525,12.86700128,9.329005784,5.717503172,2.236375029
12.75785101,8.703137008,4.730716124,0.977016766,12.71352754,8.949996014,5.18822876,1.591771923
12.75785101,8.994298014,5.257926289,1.884311485,11.7652569,8.488134116,5.109425492,1.774879979
12.75785101,9.200030766,5.613035862,1.94539985,12.96567225,9.026804845,5.093671431,1.271004827
12.75785101,9.00031346,5.315408687,1.824821773,11.96003877,8.54476399,5.242603035,2.090976592
12.75785101,9.280889976,5.820103106,2.292616895,11.51680825,8.036566786,4.622649989,0.935031491
12.75785101,9.181932896,5.620187274,2.048998254,13.5586408,9.823578116,6.051200568,2.29175178
12.75785101,8.993343029,5.209932168,1.149537844,13.19918156,9.284889327,5.557756625,2.029533926
