P_1_5,P_2_5,P_3_5,P_4_5,P_5_5
3.496613957,3.669160425,3.751892667,2.635976821,3.057235266
3.496613957,2.636120504,2.479334165,4.704612445,4.047492139
3.496613957,4.042478914,3.932094063,3.683723147,4.026038989
3.496613957,3.33395448,3.435509304,3.168442346,3.323081619
3.496613957,2.821005517,3.012422789,4.055424924,4.262056739
3.496613957,3.940471486,3.914917132,4.311133327,4.163989415
3.496613957,3.447419323,3.851978446,5.257980071,5.236839577
3.496613957,3.786235475,3.892012583,2.689245423,1.68463522
3.496613957,3.413673498,3.713010178,5.137980533,4.85547299
3.496613957,3.571432255,3.671326776,4.235771474,4.833954592
3.496613957,3.869365788,3.702736845,4.881261826,5.213594226
3.496613957,3.289781477,3.484980505,2.454967261,2.577185518
3.496613957,2.869527155,2.967080948,4.509582389,4.443366482
3.496613957,4.455699884,4.563947439,4.202118519,3.678009387
3.496613957,1.852666587,2.167741302,3.137986847,3.880901239
3.496613957,2.30197314,2.411014914,2.432523537,3.306771223
3.496613957,3.261800834,3.366344064,3.680778111,3.028616662
3.496613957,2.945405312,2.644640006,1.681050667,1.69791166
3.496613957,1.327724367,1.487874964,1.678558114,2.202063288
3.496613957,3.97151009,4.535299773,5.235668178,4.966761842
3.496613957,4.218722348,4.27672785,4.831621362,4.323377879
3.496613957,4.610113729,4.312863047,5.221608849,5.41340156
3.496613957,4.01580078,4.011791646,5.6500814,5.573985647
3.496613957,4.302035392,4.441827291,5.858561532,6.347095846
3.496613957,3.384160384,3.100796926,2.758422011,2.900374455
3.496613957,4.106179674,4.193596133,4.06110684,3.371534241
3.496613957,3.722942797,3.794553342,2.893973952,3.076379454
3.496613957,4.252911436,4.438548963,4.763088233,4.854969046
3.496613957,3.641717913,3.449645381,3.698281319,3.986606829
3.496613957,1.79684594,2.2179245,0.782633871,1.917033455
3.496613957,4.108995319,3.756787815,4.338435437,4.633959033
3.496613957,3.324428307,3.366830747,3.700462575,2.710401779
3.496613957,3.961396957,3.790592391,3.125080641,3.803325773
3.496613957,4.008376581,3.88571944,4.720370529,4.221054036
3.496613957,2.300235678,2.332105717,1.933499058,1.247881172
3.496613957,4.665550043,4.476027998,4.432288867,4.927698927
3.496613957,3.612187614,3.736050791,4.137336381,4.178325982
3.496613957,4.438077962,4.333109203,3.584461925,3.716562464
3.496613957,2.970848007,3.054375502,2.838696711,2.834928846
3.496613957,3.006270794,2.992421489,3.492066925,3.060988377
3.496613957,3.724383382,3.837039301,3.867021466,4.432364444
3.496613957,3.330961099,3.47981326,3.206703961,2.558610631
3.496613957,3.925883955,4.128481378,3.688493887,4.06143064
3.496613957,2.728750552,2.530364859,1.864878942,1.775706982
3.496613957,3.507409809,3.364603004,4.008676431,3.982095577
3.496613957,5.045123017,4.55957539,4.392164532,4.773377545
3.496613957,3.347034377,3.328904183,4.837834486,4.971834664
3.496613957,3.86693558,3.981599629,4.414999224,4.272194475
3.496613957,3.884763395,4.080843908,3.992491397,4.106900273
3.496613957,5.05064091,4.94897863,5.691807674,5.711022
3.496613957,3.645898117,3.388825363,3.113110959,3.06523222
3.496613957,3.287225788,3.411597686,3.742621434,3.061195098
3.496613957,3.847315338,3.693184393,5.14512714,5.193807729
3.496613957,4.409250161,4.123464698,4.552024283,4.561129952
3.496613957,2.967279689,2.925841416,3.080332527,3.245566655
3.496613957,4.002154731,4.215730854,4.199489546,4.363500676
3.496613957,3.539140438,3.570863325,3.519733228,3.948705577
3.496613957,3.735493513,3.699781777,2.925958964,4.147207573
3.496613957,3.512398576,3.72905205,2.436547005,1.539756777
3.496613957,3.686190918,3.776568296,4.698742939,4.581411473
3.496613957,3.350259979,3.534852284,3.098630736,2.438960109
3.496613957,3.752712415,3.742427173,3.72912625,4.043000765
3.496613957,3.43244657,3.499621588,2.350871762,2.517563148
3.496613957,4.236734916,4.277996082,4.077996133,4.060238459
3.496613957,3.24633423,3.127594218,4.597892777,5.007689582
3.496613957,3.661397769,3.940513687,4.194338153,4.321564809
3.496613957,4.948432383,4.501225571,4.236623943,4.140528825
3.496613957,2.976731074,3.157021468,2.346800171,2.004439479
3.496613957,5.176206359,5.070753874,5.851927952,5.697459335
3.496613957,4.142119675,4.16159426,2.965834876,3.073751337
3.496613957,3.393413328,3.303019835,3.571634495,3.373180074
3.496613957,4.900389074,5.125079366,5.971348721,5.565838389
3.496613957,3.073718948,3.197729648,3.467140298,3.434551224
3.496613957,3.99814864,3.827857471,3.672676327,3.723447169
3.496613957,2.883606529,3.002419594,4.301879074,4.855930156
3.496613957,4.019090892,4.082718821,4.508341067,3.950649069
3.496613957,3.876129847,3.911205036,4.699595812,4.811584
3.496613957,2.577077768,2.356101604,4.08796007,4.710648637
3.496613957,3.700077121,3.535812196,3.455512399,3.105493188
3.496613957,3.486596864,3.38949102,3.540493628,4.073218914
3.496613957,3.643830463,3.972230031,2.415862955,2.866344157
3.496613957,3.731589588,3.830909729,2.191956282,1.879777657
3.496613957,3.51704074,3.638910898,3.344459748,2.912845545
3.496613957,3.653514646,3.855501424,4.189659061,4.178048885
3.496613957,3.043769968,3.007040076,3.101861352,3.496762566
3.496613957,2.161215554,2.027697409,1.667674196,1.105157172
3.496613957,4.020528837,4.018532315,4.103816521,4.440883909
3.496613957,2.474048735,2.65972453,2.635600457,2.352112088
3.496613957,3.000541853,3.104335196,4.244839358,4.052303047
3.496613957,3.829950949,3.860598056,3.573299258,3.450537433
3.496613957,3.020737197,2.962478382,3.850062505,3.447954419
3.496613957,4.352918681,4.365682816,2.636922624,2.974468025
3.496613957,3.334250342,3.404493245,4.311895974,4.286501971
3.496613957,4.514160334,4.602150102,4.461331741,4.765075991
3.496613957,3.541705928,3.372423544,4.150005991,4.252756987
3.496613957,3.106273079,3.075159132,3.814064756,4.809906948
3.496613957,4.735170522,4.695844207,4.758958572,4.071835562
3.496613957,3.671276489,3.931296757,3.999664986,3.809015483
3.496613957,4.332192178,4.262723513,3.760650037,4.223458593
3.496613957,2.59011256,2.279643525,3.233345506,3.641406945
3.496613957,2.217154082,2.29438833,2.691918453,2.123543117
3.496613957,2.319011394,2.056997533,2.955810608,3.515942799
3.496613957,2.294540558,2.477085129,3.682750656,3.393165253
3.496613957,3.089201332,3.350390054,3.188867597,3.744981118
3.496613957,3.638512883,3.220713712,3.356550836,3.201631231
3.496613957,3.936329056,4.03069162,4.023267449,4.578844023
3.496613957,2.922676844,2.910632623,1.919233867,2.9347253
3.496613957,3.998422198,4.016834612,4.782105537,4.651901348
3.496613957,3.934238606,3.983846324,5.119299936,5.667552345
3.496613957,4.073505514,4.140149209,3.632548001,3.765032817
3.496613957,4.218755061,4.423742211,4.611663812,3.98980597
3.496613957,3.151447325,3.218955559,3.689789816,3.157704703
3.496613957,2.905725915,3.252320974,3.651113375,4.427740166
3.496613957,4.122561356,3.968082522,3.418890493,3.216633934
3.496613957,3.480966324,3.32168234,2.866651666,2.911790715
3.496613957,3.166563061,3.007652006,1.799180549,1.68953677
3.496613957,3.145583028,3.595365642,3.8533413,4.2373789
3.496613957,3.263928696,3.559963627,3.454385694,2.563083117
3.496613957,3.780240759,3.657800991,4.223288917,4.383777132
3.496613957,3.989681389,4.115728261,4.468104024,5.070503264
3.496613957,4.315080377,4.026619279,3.361750773,2.969181222
3.496613957,3.00967313,2.883245184,3.055584705,3.313519532
3.496613957,4.09608809,4.121033603,4.428302812,3.883928662
3.496613957,3.41813465,3.688327763,3.938419263,3.509385098
3.496613957,3.745506246,3.892357662,4.105581354,4.413184114
3.496613957,4.204929269,4.054183965,4.594506542,4.962725634
3.496613957,3.799546311,4.112265413,5.555978668,6.306535578
3.496613957,3.684033222,3.447818903,4.295175974,3.579653094
3.496613957,4.056548564,4.103824333,3.88984462,3.402049477
3.496613957,2.690180221,2.728645938,2.47380064,2.779917824
3.496613957,2.56474992,2.598729729,2.851080587,2.939509594
3.496613957,2.610875817,2.88725376,3.269348036,3.566820064
3.496613957,3.669319917,3.378700748,2.804836218,3.384350386
3.496613957,3.300802825,3.234925989,3.150874497,3.59260362
3.496613957,3.711352503,3.742231795,4.015072326,3.677067865
3.496613957,4.026470899,3.819863993,4.463347053,4.183490576
3.496613957,3.277039139,3.226194299,3.168588985,3.74332635
3.496613957,3.212268266,3.136462207,3.968191119,3.558498114
3.496613957,3.081268581,2.87104461,2.776900138,3.485371991
3.496613957,2.287718601,2.448947964,4.242731093,5.131621725
3.496613957,3.927902212,3.961540128,2.05605367,3.190614815
3.496613957,2.964631487,2.966469944,1.9138034,1.900275235
3.496613957,2.841945656,2.835252871,3.135076261,2.438648655
3.496613957,4.536388969,4.513382941,3.881456647,4.056557977
3.496613957,3.800356748,3.623978672,4.280396024,4.528331608
3.496613957,3.349732953,3.374542372,3.176001362,3.296295442
3.496613957,3.819639832,4.210076224,3.929260219,3.760701285
3.496613957,3.10145022,3.148807652,2.18774251,2.366570869
3.496613957,4.014774858,4.16146869,4.15730534,3.713454945
3.496613957,4.421311011,4.462267841,4.885845625,5.191363054
3.496613957,2.835634786,2.90370738,3.835158001,4.122364283
3.496613957,3.307406816,3.353472599,4.214680532,3.166625253
3.496613957,2.72262762,2.380552493,1.863290763,2.096431375
3.496613957,4.463221014,4.319061481,4.30558205,5.142189316
3.496613957,3.496686735,3.124067253,3.130442934,4.249525262
3.496613957,2.754266437,2.998359862,2.598354356,3.085593807
3.496613957,3.262016872,3.412274169,2.419254091,2.427998588
3.496613957,3.009292144,3.425186427,2.687954725,2.729536376
3.496613957,4.487479172,4.795379292,4.439893432,4.645127273
3.496613957,4.057067993,3.976678913,3.617303721,4.382880661
3.496613957,2.396851215,2.349364831,0.387371766,-0.996870752
3.496613957,4.152963119,4.758748572,4.379602716,4.101552727
3.496613957,3.368613689,3.264638339,3.439078999,4.060145009
3.496613957,3.127561849,2.874102481,2.963564587,2.736301387
3.496613957,3.357919536,3.500299743,3.575701596,3.27786173
3.496613957,1.734962394,1.996610424,3.064069998,2.014416583
3.496613957,4.634550356,4.624782933,4.01508209,4.428185427
3.496613957,4.166659388,4.256243451,5.004213979,4.855625188
3.496613957,3.81257375,3.827010999,3.601836121,3.519826826
3.496613957,3.090854434,2.986472617,2.542745611,2.836453159
3.496613957,3.547680059,3.43222782,3.35208869,2.472816022
3.496613957,3.728691892,3.695323619,5.333952527,5.346732619
3.496613957,3.580721557,3.405686187,2.912980654,3.12328116
3.496613957,3.323329505,3.053566164,3.481880448,3.298599856
3.496613957,3.703499951,3.673276873,1.820269978,1.217206364
3.496613957,2.948491358,3.073322178,3.518310043,3.105748088
3.496613957,3.705944016,3.637627281,3.082635249,3.118686527
3.496613957,4.640133155,4.623581956,3.814812999,3.580106223
3.496613957,3.450779333,3.278438845,3.258322884,4.203216381
3.496613957,3.918606379,3.831559033,3.120286578,2.889730757
3.496613957,3.835314013,3.46572904,3.089217457,3.540672909
3.496613957,3.461027724,3.422724889,2.226556303,2.714455486
3.496613957,2.691907089,2.501743382,2.752415862,2.803259915
3.496613957,4.103805264,3.977884731,3.119083057,3.666439127
3.496613957,2.932563274,2.797321501,2.244650985,2.159372489
3.496613957,3.65336969,3.440611927,2.331032405,2.017103072
3.496613957,3.848256815,4.013228789,4.176317072,3.403730502
3.496613957,3.173763487,2.771830518,1.689099439,1.262359207
3.496613957,2.710647025,2.819592611,3.338314194,4.027884177
3.496613957,3.351116419,3.345218428,2.891897066,2.630185888
3.496613957,3.356002664,3.450163013,3.401235497,3.7285671
3.496613957,4.126821445,3.920216609,4.909109853,5.017400338
3.496613957,3.343069659,3.73864961,3.403483718,3.208788964
3.496613957,3.060245571,3.079022897,0.264750693,0.306791784
3.496613957,4.111674554,4.102444637,4.003156494,4.109257978
3.496613957,4.367719238,4.379554773,4.463114776,4.170963109
3.496613957,4.581524367,4.636595693,4.956988766,5.873911567
3.496613957,3.975637367,3.815510431,3.90648729,4.364268762
3.496613957,4.324242979,4.55689746,4.211987734,4.089111178
3.496613957,3.907517586,4.130757464,4.464756049,4.241448009
3.496613957,1.505494304,1.662995329,1.14000791,0.303341271
3.496613957,4.677555485,4.623990157,3.764101557,3.406362652
3.496613957,2.98224612,2.821111146,4.259634682,3.848876803
3.496613957,4.152977314,3.755823708,4.626666737,5.23631309
3.496613957,3.472790402,3.632679942,3.337696477,3.255072788
3.496613957,3.269984503,3.080467614,3.615971408,2.933456125
3.496613957,3.216118526,3.180777465,4.776697253,5.186373199
3.496613957,2.773026837,2.590273454,2.735388383,3.142754442
3.496613957,2.486298666,2.536309742,2.559368694,2.455932689
3.496613957,2.977586757,3.14014886,3.812404571,3.470650727
3.496613957,3.271791546,3.533884381,2.140698995,2.653482701
3.496613957,2.54014057,2.598027194,2.393288083,1.996000498
3.496613957,4.006361247,4.053032338,2.073948893,2.095598878
3.496613957,3.693501177,3.655055707,4.550842981,4.751548085
3.496613957,4.014663071,3.951950604,4.011261918,4.183031716
3.496613957,3.433752907,3.186561895,2.784897895,2.84401462
3.496613957,2.72004579,2.302065396,3.986461598,3.458848337
3.496613957,3.565732613,3.309176252,4.699923895,5.61268093
3.496613957,2.090746732,2.1514991,1.837392367,2.344334542
3.496613957,3.491422871,3.774874334,4.892453794,4.808053623
3.496613957,3.439511495,3.318115928,2.453928375,2.940398535
3.496613957,3.228603139,3.288530384,2.50942548,2.716163567
3.496613957,1.831957106,1.817572959,2.506453488,2.753840093
3.496613957,1.923921703,1.719052841,1.900649643,1.103931466
3.496613957,3.280231949,3.459083485,3.252627525,3.066358469
3.496613957,4.222948006,3.968763882,4.073278308,3.434398775
3.496613957,4.741215878,4.258754205,4.12629448,4.037973787
3.496613957,3.979197866,4.330734403,4.285731293,5.008139747
3.496613957,3.51713355,3.80186682,3.613778841,3.111549903
3.496613957,4.088986041,4.229265358,4.200455358,3.625065492
3.496613957,3.120103717,3.076603453,2.8878077,2.693625875
3.496613957,3.26358562,2.950921957,3.693839866,3.111210116
3.496613957,2.092740452,2.096883947,2.669842377,2.506037581
3.496613957,2.550446086,3.079722362,2.878120663,3.076440295
3.496613957,2.94271432,2.961040779,2.934605467,3.089822683
3.496613957,3.626266149,3.527308416,2.783868894,2.29071592
3.496613957,3.716309913,3.805286514,4.303004283,4.00220122
3.496613957,3.312474431,3.383364534,3.859486536,3.48795995
3.496613957,4.174331661,4.020676085,2.123256061,1.645021494
3.496613957,3.441365377,3.499419288,3.508547132,3.062687317
3.496613957,3.670855189,3.883612177,2.146193531,2.513109699
3.496613957,2.799275348,2.477077588,2.327422889,2.485374869
3.496613957,3.394925435,3.474336067,2.436899674,1.972902211
3.496613957,3.440511874,3.555485882,2.734097624,2.627993796
3.496613957,3.735510411,3.391951735,2.666483207,2.988257283
3.496613957,4.011760602,3.876678641,3.34673223,3.066714909
3.496613957,4.359388898,4.289615885,3.669238269,3.675629957
3.496613957,3.867579313,3.97830028,3.002127431,2.959615151
3.496613957,4.841105844,4.593059757,3.785420978,3.823272131
3.496613957,4.212972279,3.878153371,2.42810282,2.368647523
3.496613957,3.605814402,3.644583285,3.87894431,2.883959361
3.496613957,3.103694914,3.428657403,3.640255145,3.85253198
3.496613957,2.221037151,2.20428045,3.216396285,3.277540595
3.496613957,4.895126585,4.592484595,5.16840418,5.009078174
3.496613957,3.590995864,3.491609547,4.073720096,4.037217833
3.496613957,3.852725719,3.897959007,3.766473536,3.064913914
3.496613957,2.784262031,2.883942873,1.554142325,2.32201195
3.496613957,2.601234006,2.542418122,3.233106642,3.498691021
3.496613957,4.259148394,4.126916834,4.78608376,5.410543901
3.496613957,4.067711097,3.667101436,3.433006662,3.439185481
3.496613957,3.704817254,3.894439966,1.760606362,1.873103647
3.496613957,4.084286184,4.045039705,4.791543044,5.306128868
3.496613957,3.857377433,3.805888076,4.731259257,4.992398355
3.496613957,3.732821145,3.944337865,3.514102368,3.50433934
3.496613957,3.140318731,3.221232341,2.990962579,2.705440573
3.496613957,4.652256417,4.519811537,3.526112798,3.225430756
3.496613957,3.884399664,3.696632547,2.685070709,2.114117726
3.496613957,4.262053638,4.138064271,3.615198913,3.086153694
3.496613957,3.793491743,3.395899914,3.451220837,3.835727217
3.496613957,3.566347821,3.462774917,3.378779902,3.478510472
3.496613957,2.45018894,2.860542083,2.641541634,1.838755896
3.496613957,4.190696376,4.341211035,4.534496548,4.445331919
3.496613957,2.110114722,2.339405517,0.482476484,0.263508199
3.496613957,4.664169567,4.635729345,3.515150683,3.847869102
3.496613957,2.677004032,2.753675062,3.326545143,2.769652122
3.496613957,2.816685406,2.728529347,4.475114485,4.693123418
3.496613957,4.204397981,4.131776862,3.469460611,3.283304646
3.496613957,4.054779379,3.989965743,2.551611683,3.496804567
3.496613957,5.029186138,5.059153023,5.589056012,5.524111887
3.496613957,3.179108362,3.376496708,3.04589829,3.512118935
3.496613957,4.609662601,4.337693311,3.751176782,3.48189239
3.496613957,4.184060103,4.268241122,3.430816161,3.496920596
3.496613957,4.246309858,4.047472779,3.208786298,3.129461598
3.496613957,3.769865896,3.737050831,3.582334641,3.862783357
3.496613957,3.896526006,4.07311743,3.916173081,3.83940176
3.496613957,3.047815071,3.166915826,3.518424624,3.234657547
3.496613957,2.947080118,2.826401339,3.503851553,3.820549098
3.496613957,1.901274138,1.883540855,0.882387877,-0.263769878
3.496613957,2.828478265,3.112147905,3.556589093,2.765295284
3.496613957,2.635685884,2.631108923,0.783882389,0.758527322
3.496613957,3.441409127,3.540230307,4.511725584,4.490986594
3.496613957,4.671588878,4.603005739,4.233463038,4.263063017
3.496613957,4.627486179,4.772225197,3.466413642,3.664835608
3.496613957,3.815462202,3.934753919,4.498105638,3.808655635
3.496613957,3.496788678,3.667402845,2.417323049,2.174158892
3.496613957,3.283104736,3.266456897,3.702697486,2.824677334
3.496613957,4.416252087,4.488803032,4.088671325,3.634542482
3.496613957,3.049178081,3.143966586,2.741859927,2.934839465
3.496613957,4.488453742,4.214200229,5.050426854,5.524597067
3.496613957,3.022639065,3.257895488,3.913166913,3.7372902
3.496613957,2.729493231,2.369026415,0.724097964,0.287395381
3.496613957,4.609918981,4.410547895,4.249885531,4.485548344
3.496613957,2.989059484,3.008738721,1.714259996,1.841978768
3.496613957,3.368383928,2.993916807,4.617726378,4.938100883
3.496613957,4.665630246,4.577423248,4.073129757,4.255570167
3.496613957,2.703590333,2.616852811,2.988460996,2.98266645
3.496613957,3.328788205,3.442312447,4.170017922,3.147682787
3.496613957,3.838364902,3.745925762,3.786819049,3.79859328
3.496613957,3.554919065,3.272616157,3.292673807,2.935987765
3.496613957,2.722187425,2.920018724,4.208291493,4.288392586
3.496613957,2.78588929,2.849897265,4.337240166,4.598860675
3.496613957,3.600857055,3.724161792,2.977367854,3.095041064
3.496613957,4.319473572,4.277388881,4.335670386,4.58190831
3.496613957,2.451606807,2.618020361,0.175782731,-0.538660179
3.496613957,4.007920039,4.050409769,4.490598178,5.42005495
3.496613957,3.056253984,2.813211339,3.298969237,3.717124893
3.496613957,4.369922126,4.206952449,4.461657128,4.659897123
3.496613957,3.353941638,3.56244696,4.158417613,4.405572319
3.496613957,3.65704665,3.397914482,3.658027826,3.279517209
3.496613957,4.297995174,4.052242277,3.981644873,4.26532613
3.496613957,3.549079355,3.723039841,3.82448382,3.73743903
3.496613957,3.593220215,3.550343364,2.761605268,3.245817309
3.496613957,1.866970609,1.828279962,2.72371439,1.824853148
3.496613957,3.604675816,3.381661045,3.095976703,2.828665247
3.496613957,3.735629551,3.449253574,3.433844197,4.075658444
3.496613957,3.088365202,2.647058932,0.566501845,-0.400461193
3.496613957,2.219987838,1.79509803,1.584490636,0.344770971
3.496613957,4.538185214,4.794420241,5.285587899,5.638248405
3.496613957,3.913352712,3.496279234,4.048075094,4.493165043
3.496613957,4.593964014,4.657051779,6.471361682,6.407479189
3.496613957,3.64402023,3.671107769,3.288376156,3.353653694
3.496613957,3.301737388,3.288891241,2.848306294,2.539024956
3.496613957,3.815917396,3.981918747,3.842425389,2.836208309
3.496613957,3.108460547,3.438483776,2.893606748,3.687375934
3.496613957,3.913922447,3.544346166,2.809172988,2.997317104
3.496613957,3.182889887,3.246112736,2.524130093,1.766596627
3.496613957,3.738090633,3.832239422,1.823992021,2.186580259
3.496613957,3.938427831,4.145346556,4.162328233,3.709942522
3.496613957,4.676698685,4.643665543,5.857966417,5.892343534
3.496613957,3.333119281,3.241517645,2.287893023,2.639257293
3.496613957,2.870041458,2.609783956,2.800648572,2.216327337
3.496613957,3.150021117,3.292057062,3.570200422,2.69549551
3.496613957,2.359893498,2.382582987,2.525673275,2.208278784
3.496613957,3.462506273,3.488556151,3.334192558,3.527480768
3.496613957,4.292887311,3.974118323,4.901126849,4.307009235
3.496613957,4.02584581,3.984956063,4.100562231,3.874718344
3.496613957,4.239547388,4.411690436,3.226151623,3.902410668
3.496613957,3.473461212,3.473082706,2.570948657,2.468184073
3.496613957,2.12419231,2.315176362,1.734523384,1.407519467
3.496613957,2.606209476,2.574631742,2.272443465,2.35332029
3.496613957,3.692707014,3.669302985,3.750366957,4.246790493
3.496613957,4.531817031,4.824248874,5.353128749,5.28528336
