P_1_8,P_2_8,P_3_8,P_4_8,P_5_8,P_6_8,P_7_8,P_8_8
3.662404104,4.502879484,4.426264771,3.971135009,4.414235665,4.391488107,4.290892786,4.491717447
3.662404104,2.840548046,2.498555421,3.403392134,3.792316077,3.574874448,3.498373978,2.630353888
3.662404104,2.42192659,2.506647844,2.893549478,2.349471359,1.99224137,1.91544182,2.231098194
3.662404104,2.472405364,2.183993984,3.051779945,3.610472507,3.756089961,3.491951158,4.217576481
3.662404104,2.510035409,2.709383809,3.861115487,3.595136791,3.441239966,3.229001622,3.255779638
3.662404104,3.237254677,3.525289331,3.373763265,3.945311388,4.167816956,4.282373554,4.228836706
3.662404104,3.858591215,3.398685577,3.445618149,3.298691446,3.286381118,3.590960803,3.136985768
3.662404104,4.084229026,4.189381026,4.176530411,4.724772017,5.284882929,4.86516226,4.61669027
3.662404104,3.090691654,3.077142861,2.130077035,3.118728837,3.031712484,3.329296029,3.095565962
3.662404104,4.192136359,4.211895879,4.942611697,4.836512095,4.495310255,4.704297812,4.575353638
3.662404104,4.101808465,4.155419661,5.247544981,5.769607846,5.786639584,5.86685203,5.382046032
3.662404104,4.306687101,4.379146812,3.844133445,3.960066307,3.867676579,4.0461398,4.607036159
3.662404104,4.361281714,4.586837291,4.741437509,4.156365591,3.910887892,4.409420205,3.897424988
3.662404104,3.29651767,3.372279174,3.787124112,3.264318105,3.203738002,3.219981151,3.449809403
3.662404104,3.105459645,3.487307655,3.802050902,4.551398326,4.547024037,4.643087092,4.512652576
3.662404104,4.342107924,4.172313294,3.634641599,3.463384837,3.243519688,3.224765713,3.662136194
3.662404104,3.60048136,3.425290715,3.009269401,3.050454479,2.941319978,2.764549837,3.416412026
3.662404104,3.394538379,3.219758909,2.061105181,1.971303806,1.782755108,1.85441906,2.393782366
3.662404104,3.287262725,3.782597567,3.984486481,4.387069658,4.552102273,4.308066895,4.85157799
3.662404104,3.465229221,3.790997091,3.68225152,2.827206914,2.661402968,2.575528392,2.245127257
3.662404104,3.922808873,3.788252974,4.338908401,4.503935444,4.545182847,4.328305762,3.909792299
3.662404104,4.134227,4.272402362,4.599873212,5.178183317,5.11310111,4.95074094,3.888360769
3.662404104,4.565105578,4.24763539,3.565382078,3.227460185,2.829847556,3.082191547,2.700975588
3.662404104,3.231535148,3.091149035,3.226069065,3.493812321,3.593788611,3.714534835,4.07699879
3.662404104,4.306476336,4.333750239,4.617308173,4.099771003,4.363302832,4.69773637,4.458910849
3.662404104,3.574040869,3.870508667,4.057726427,3.668422731,3.224214616,3.254780014,3.526299283
3.662404104,3.933098534,4.095139084,4.301392421,4.613731074,4.181090918,4.323708243,4.774405682
3.662404104,4.393325662,4.22628577,4.749878468,5.111400684,5.105469231,4.617304904,5.377972901
3.662404104,3.980635846,4.32558,5.712514089,6.468057925,6.235561601,5.506835313,5.21049774
3.662404104,3.815896672,3.554214636,4.344780676,3.637932134,3.575404194,3.480122168,3.185912251
3.662404104,4.197111011,4.247639068,4.025841032,3.522392563,3.654836007,3.721348551,4.105202021
3.662404104,2.779207532,2.82037852,2.663514216,2.961592056,3.303887126,3.467219578,3.028449618
3.662404104,2.722082251,2.759482207,3.037062347,3.078770589,3.514009641,3.550173781,3.296015555
3.662404104,2.774177633,3.076972942,3.419007815,3.666848194,3.61311462,3.425740812,3.6458695
3.662404104,3.89353635,3.573157011,3.028157445,3.591424752,3.884872884,3.568195579,3.970647672
3.662404104,3.45464216,3.380790011,3.322020036,3.770252937,3.10144907,3.207065843,2.509050488
3.662404104,3.77913516,3.812357351,4.139007155,3.815303997,4.170398147,4.352490873,3.847696473
3.662404104,4.217002001,3.988210483,4.608604399,4.333515645,3.980889564,4.22773221,3.462574169
3.662404104,3.484569322,3.429250036,3.350022105,3.885791368,3.969531307,4.56008842,4.427989183
3.662404104,3.33756592,3.252298872,4.086875816,3.753010411,3.602442819,3.416903244,2.923153035
3.662404104,3.277976128,3.04702472,2.945262735,3.639577137,3.4621097,3.290427568,3.385292562
3.662404104,2.441165966,2.619002524,4.376070229,5.243980951,5.415390369,5.236816309,4.886948856
3.662404104,4.081864357,4.119195222,2.287145308,3.39337013,3.312068841,3.039579863,3.07725602
3.662404104,3.153317421,3.155458401,2.190430212,2.176740753,1.900359586,1.570373683,1.359156152
3.662404104,3.097745644,3.090059571,3.340570165,2.691243643,2.370070868,2.135457658,2.343452738
3.662404104,4.690666494,4.665228088,4.038159107,4.22587327,3.929377377,3.917904114,3.487773828
3.662404104,3.981097394,3.78707956,4.39863484,4.66717183,4.284361075,4.597893768,5.140612754
3.662404104,3.519129551,3.547561719,3.375702579,3.46362905,3.502161993,3.700972259,3.915066287
3.662404104,3.884822497,4.315840642,4.081072136,3.907108131,3.874629166,3.915412335,4.026594931
3.662404104,3.283932054,3.334917476,2.403578711,2.560166555,2.433733981,2.599717374,3.473683954
3.662404104,4.100353071,4.262575801,4.278602542,3.800387486,4.112704428,4.433110174,3.977970622
3.662404104,4.515491628,4.560181466,4.908786247,5.196860325,5.243508594,5.478065231,5.152934391
3.662404104,3.028385226,3.103984527,3.9800963,4.233651885,4.907929344,5.444205358,4.998736287
3.662404104,3.509629289,3.560619296,4.401627493,3.418489757,3.3570954,3.533610632,2.617093457
3.662404104,2.974470751,2.597889296,2.074281,2.336417765,1.810896163,1.643219015,1.469674399
3.662404104,4.623108602,4.464112213,4.446801356,5.277039238,5.274183124,5.20261334,5.30426398
3.662404104,3.79491512,3.384208842,3.339836348,4.397625284,3.82904584,4.007519995,4.522118289
3.662404104,2.916708621,3.186000554,2.784699487,3.230820748,3.446554333,3.605657526,4.166189931
3.662404104,3.379681556,3.544451056,2.597330005,2.610569341,2.874351093,3.083140406,3.133528048
3.662404104,3.128127841,3.587664113,2.917854605,2.965822171,2.636562442,2.630279969,2.423137414
3.662404104,4.499866231,4.839606614,4.503751399,4.737161414,5.00132001,4.954868519,5.440797533
3.662404104,4.254554832,4.166133423,3.81759669,4.583318142,4.464092187,4.60431208,4.246206703
3.662404104,2.576665539,2.524684279,0.67654782,-0.646035569,-0.466027279,-0.356503186,-0.345475554
3.662404104,4.261328681,4.929409652,4.538112001,4.275541191,3.922446795,3.77663835,4.369196344
3.662404104,3.603681394,3.489203056,3.620710499,4.250871849,4.273805526,4.624603402,3.76191945
3.662404104,3.327852698,3.049201582,3.152663749,2.936893692,3.023382913,2.701438885,2.545468528
3.662404104,3.550937685,3.709266629,3.771509374,3.4633647,3.628009344,3.50266204,2.993127468
3.662404104,1.886102855,2.174891578,3.240941319,2.208852963,2.153139714,2.03240888,1.656184212
3.662404104,4.789167125,4.776713291,4.237091309,4.646059854,4.500526747,4.029976697,3.641114337
3.662404104,4.261963022,4.360941203,5.076968479,4.921091422,5.008204694,5.070076436,5.615294402
3.662404104,3.988652002,4.003289952,3.790892682,3.729779324,3.594669939,3.578611809,3.955202476
3.662404104,3.259372249,3.142832438,2.688936863,2.978350811,3.181299353,3.434513082,2.948932995
3.662404104,3.726703358,3.599637131,3.497657874,2.636824442,2.405499323,2.861057868,3.054363962
3.662404104,3.882258737,3.845917912,5.395884686,5.406856607,5.267899374,5.349633872,4.328182522
3.662404104,3.773409825,3.582317706,3.116920402,3.345375713,3.651941463,3.639764787,3.727352636
3.662404104,3.514427496,3.215629542,3.56878425,3.354696632,3.672323441,3.787793589,3.303034938
3.662404104,3.891993004,3.858510669,2.05022503,1.462359739,1.607850266,1.579815479,1.111357928
3.662404104,3.089179615,3.226945265,3.638342619,3.223843649,3.414601553,3.562746544,2.944910708
3.662404104,3.927839831,3.852717065,3.307728266,3.308947519,3.536471597,3.920856862,3.219993382
