P_1_3,P_2_3,P_3_3
3.708320009,3.844387391,3.437091468
3.708320009,4.129964372,4.221954711
3.708320009,3.157969682,3.146228247
3.708320009,4.189505706,4.207455241
3.708320009,4.127959832,4.176320439
3.708320009,4.261503363,4.326471671
3.708320009,4.400783666,4.600617549
3.708320009,3.377338505,3.443149618
3.708320009,3.141715376,3.479597222
3.708320009,4.308543183,4.157947864
3.708320009,3.693315439,3.538035768
3.708320009,3.391833037,3.236916922
3.708320009,3.371715211,3.81019053
3.708320009,3.48519729,3.773790061
3.708320009,3.980290753,3.860929055
3.708320009,4.181124113,4.304002233
3.708320009,4.493150353,4.211941012
3.708320009,3.241390728,3.118141113
3.708320009,4.283157875,4.307476271
3.708320009,3.633065924,3.896466527
3.708320009,3.946983705,4.090143355
3.708320009,4.387526066,4.240570419
3.708320009,3.998802915,4.303660425
3.708320009,3.888037005,3.657760987
3.708320009,4.245243284,4.291330564
3.708320009,2.935027848,2.972526558
3.708320009,2.814752289,2.847877864
3.708320009,2.858982575,3.128412525
3.708320009,3.873928364,3.590615206
3.708320009,3.520556022,3.456335295
3.708320009,3.91423356,3.944336563
3.708320009,4.216401704,4.014988785
3.708320009,3.497768939,3.448202312
3.708320009,3.435659921,3.361759585
3.708320009,3.31004386,3.105104806
3.708320009,2.549105978,2.706282121
3.708320009,4.121883841,4.154676119
3.708320009,3.198200137,3.199992377
3.708320009,3.08055626,3.074031728
3.708320009,4.705363944,4.682936275
3.708320009,3.999580045,3.827636019
3.708320009,3.567475295,3.591661018
3.708320009,4.018070662,4.398691692
3.708320009,3.329396104,3.375562996
3.708320009,4.205186329,4.348192356
3.708320009,4.595015284,4.634942481
3.708320009,3.074504745,3.140866031
3.708320009,3.526888613,3.571796326
3.708320009,2.966141774,2.632666233
3.708320009,4.635202933,4.494667494
3.708320009,3.708389796,3.345137769
3.708320009,2.996480348,3.234437394
3.708320009,3.483364034,3.629843944
3.708320009,3.2410254,3.646464323
3.708320009,4.658464167,4.958623843
3.708320009,4.245741366,4.167373224
3.708320009,2.653753628,2.607461026
3.708320009,4.337695541,4.928251872
3.708320009,3.585580099,3.484218634
3.708320009,3.354434638,3.107347102
3.708320009,3.575325438,3.714126283
3.708320009,2.019066097,2.274136436
3.708320009,4.799491245,4.78996937
3.708320009,4.350828942,4.438160909
3.708320009,4.011294972,4.025369276
3.708320009,3.319235768,3.217478054
3.708320009,3.757287475,3.644737644
3.708320009,3.930860362,3.898330949
3.708320009,3.788971084,3.61833601
3.708320009,3.542156935,3.2791753
3.708320009,3.90670372,3.877240434
3.708320009,3.182723311,3.304415951
3.708320009,3.909047342,3.842448054
3.708320009,4.804844611,4.7887095
3.708320009,3.664369026,3.496361085
3.708320009,4.112970034,4.028111012
3.708320009,4.03310069,3.672806885
3.708320009,3.674196244,3.636856322
3.708320009,2.936683748,2.751300655
3.708320009,4.2905579,4.167802942
3.708320009,3.167449815,3.035607948
3.708320009,3.858633635,3.651224489
3.708320009,4.045511588,4.206336255
3.708320009,3.398737552,3.006908963
3.708320009,2.954653539,3.060860292
3.708320009,3.568801905,3.563052187
3.708320009,3.573487343,3.665280552
3.708320009,4.312628197,4.111217296
3.708320009,3.561085838,3.946721122
3.708320009,3.289884821,3.308190095
3.708320009,4.29810379,4.289105908
3.708320009,4.543625943,4.555163939
3.708320009,4.748644437,4.802331299
3.708320009,4.167657251,4.01155582
3.708320009,4.501936404,4.728742076
3.708320009,4.102336951,4.319964699
3.708320009,1.799028334,1.952569868
3.708320009,4.840729015,4.788510291
3.708320009,3.215090871,3.058006744
3.708320009,4.337709152,3.950539775
3.708320009,3.685475518,3.84134552
3.708320009,3.491004225,3.306251689
3.708320009,3.439351949,3.404899343
3.708320009,3.014469762,2.8363107
3.708320009,2.739525105,2.788278929
3.708320009,3.210622992,3.369098371
3.708320009,3.492737004,3.748240966
3.708320009,2.791154296,2.847585682
3.708320009,4.197118487,4.242616293
3.708320009,3.897115861,3.859636889
3.708320009,4.205079136,4.143943227
3.708320009,3.648042326,3.407065564
3.708320009,2.963666048,2.556193458
3.708320009,3.774598132,3.524491462
3.708320009,2.360228957,2.419454043
3.708320009,3.703342258,3.979667904
3.708320009,3.653564256,3.535220508
3.708320009,3.451323488,3.509744194
3.708320009,2.112074669,2.098052132
3.708320009,2.200259846,2.000541278
3.708320009,3.500830537,3.67518584
3.708320009,4.404804296,4.157010225
3.708320009,4.901773191,4.431440347
3.708320009,4.171071425,4.513770523
3.708320009,3.727996319,4.005571547
3.708320009,4.276347694,4.413100465
3.708320009,3.347283008,3.304876318
3.708320009,3.484868313,3.180064847
3.708320009,2.362140742,2.366180071
3.708320009,2.801036292,3.317006846
3.708320009,3.177183689,3.19504943
3.708320009,3.832643955,3.736173966
3.708320009,3.918987237,4.005727015
3.708320009,3.531747966,3.60085593
3.708320009,4.358185911,4.208393154
3.708320009,3.655341951,3.711936417
3.708320009,3.875400542,4.082808933
3.708320009,3.039639551,2.72554167
3.708320009,3.610810525,3.688224817
3.708320009,3.654523523,3.766607146
3.708320009,3.937398663,3.602476869
3.708320009,4.202295948,4.070609875
3.708320009,4.53563795,4.467618994
3.708320009,4.06404,4.171977502
3.708320009,4.997558032,4.755747692
3.708320009,4.395238537,4.068836796
3.708320009,3.813032702,3.850826956
3.708320009,3.33154855,3.648341655
3.708320009,2.4851649,2.468829454
3.708320009,5.049358712,4.75432498
3.708320009,3.798823154,3.701935355
3.708320009,4.049796836,4.093892983
3.708320009,3.025243229,3.122418148
3.708320009,2.849737008,2.792399724
3.708320009,4.439516976,4.310609648
3.708320009,4.255947076,3.865408527
3.708320009,3.907966887,4.092822585
3.708320009,4.271840985,4.233581142
3.708320009,4.054257382,4.004062439
3.708320009,3.934819916,4.14101922
3.708320009,3.366667257,3.445546742
3.708320009,4.816469649,4.687354363
3.708320009,4.080169095,3.897122342
3.708320009,4.442302825,4.321430485
3.708320009,3.992997167,3.605400584
3.708320009,3.775188058,3.674218921
3.708320009,2.70489936,3.104936445
3.708320009,4.373878095,4.520608896
3.708320009,2.378800991,2.602327538
3.708320009,4.827893212,4.800167961
3.708320009,2.922393154,2.997136715
3.708320009,3.056334118,2.970394255
3.708320009,4.387016612,4.316221149
3.708320009,4.243546805,4.18036255
3.708320009,5.177908892,5.207122425
3.708320009,3.403862771,3.59628888
3.708320009,4.775626289,4.510494161
3.708320009,4.367514549,4.449579302
3.708320009,4.427206059,4.233367638
3.708320009,3.970342259,3.938352148
3.708320009,4.091797087,4.263949097
3.708320009,3.277965171,3.394071796
3.708320009,3.181370068,3.063725089
3.708320009,2.178543016,2.161255538
3.708320009,3.067642332,3.344180669
3.708320009,2.882773036,2.878311137
3.708320009,3.655383903,3.751720771
3.708320009,4.835007614,4.76814862
3.708320009,4.79271738,4.933817738
3.708320009,4.014064719,4.130357505
3.708320009,3.70848755,3.874812568
3.708320009,3.503585262,3.487355941
3.708320009,4.590164264,4.660891317
3.708320009,3.279272166,3.371677738
3.708320009,4.659398685,4.392039759
3.708320009,3.253823809,3.483166012
3.708320009,2.972725232,2.62132036
3.708320009,4.775872132,4.581513129
3.708320009,3.221624231,3.240808741
3.708320009,3.585359781,3.220306563
3.708320009,4.829293862,4.743304341
3.708320009,2.947886852,2.863329866
3.708320009,3.547391302,3.658061606
3.708320009,4.036026199,3.945910929
3.708320009,3.764228983,3.48902302
3.708320009,2.965719669,3.158577596
3.708320009,3.026803613,3.089202461
3.708320009,3.808279084,3.928484006
3.708320009,4.497363003,4.456336298
3.708320009,2.706258958,2.868488965
3.708320009,4.198613219,4.24003478
3.708320009,3.286057274,3.049124591
3.708320009,4.5457383,4.386865593
3.708320009,3.571511018,3.774774627
3.708320009,3.862159486,3.609541761
3.708320009,4.476767291,4.23719249
3.708320009,3.758629264,3.928216477
3.708320009,3.800956091,3.759157141
3.708320009,2.145649241,2.107931256
3.708320009,3.811940908,3.594532609
3.708320009,3.937512907,3.658336269
3.708320009,3.316848834,2.886636768
3.708320009,2.48415871,2.069950405
3.708320009,4.70708637,4.956879786
3.708320009,4.107932274,3.701343801
3.708320009,4.760572858,4.822074631
3.708320009,3.849668405,3.876074978
3.708320009,3.521452178,3.508928976
3.708320009,4.014501206,4.176329371
3.708320009,3.336118332,3.657844954
3.708320009,4.108478595,3.748193264
3.708320009,3.407488889,3.46912235
3.708320009,3.939872847,4.031654786
3.708320009,4.131976895,4.333693794
3.708320009,4.839907427,4.807704721
3.708320009,3.551544386,3.462245567
3.708320009,3.107497425,2.853782657
3.708320009,3.375970909,3.514436146
3.708320009,2.618314742,2.64043383
3.708320009,3.67561403,3.701009028
3.708320009,4.471869344,4.161114037
3.708320009,4.215802304,4.175940503
3.708320009,4.420721502,4.588536966
3.708320009,3.68611876,3.68574977
3.708320009,2.392300039,2.578482854
3.708320009,2.854508005,2.823724117
3.708320009,3.896354334,3.87353867
3.708320009,4.700979896,4.98606016
3.708320009,2.588942218,2.542733223
3.708320009,2.768840595,3.022644906
3.708320009,3.434680648,3.43756803
3.708320009,3.83175992,3.630245506
3.708320009,3.070790377,3.073660678
3.708320009,4.103299086,4.024018485
3.708320009,3.356415242,3.529572516
3.708320009,4.0533978,3.910562687
3.708320009,3.808844948,3.901659154
3.708320009,5.154150787,5.147982033
3.708320009,4.028050836,4.266831099
3.708320009,3.993282542,3.872249109
3.708320009,3.99137754,3.906815695
3.708320009,4.124917131,4.346196999
3.708320009,2.764026922,2.857628392
3.708320009,1.934880013,2.191746898
3.708320009,3.775965325,3.614342515
3.708320009,4.15513839,4.233152801
3.708320009,4.245457885,4.162556382
3.708320009,4.155189305,4.176286875
3.708320009,4.559033306,4.92529825
3.708320009,4.752772295,4.472537036
3.708320009,3.748740956,3.82766554
3.708320009,4.478554859,4.333520025
3.708320009,3.409070975,3.195677983
3.708320009,4.623754414,4.518143775
3.708320009,3.208615521,3.24132903
3.708320009,2.500193974,2.557951663
3.708320009,2.987932672,2.973246483
3.708320009,2.75102758,2.901316083
3.708320009,4.33257432,4.00514352
3.708320009,3.517877594,3.278159846
3.708320009,3.759461253,3.692646295
3.708320009,4.173851377,3.950785251
3.708320009,4.101908243,3.969917831
3.708320009,2.717706939,2.636654767
3.708320009,3.574547034,3.199141753
3.708320009,3.687034513,3.771554475
3.708320009,3.907173845,3.76183143
3.708320009,3.747674843,3.596611258
3.708320009,5.421213694,5.202904654
3.708320009,4.429333589,4.265038405
3.708320009,4.838560317,4.917667789
3.708320009,2.350526717,2.79663255
3.708320009,3.398285864,3.143068047
3.708320009,3.930586025,3.883989244
3.708320009,3.912375495,4.029791862
3.708320009,4.420916946,4.308760507
3.708320009,3.823263085,3.81533848
3.708320009,3.58023788,3.574107668
3.708320009,3.796917228,3.493837416
3.708320009,4.581187717,4.505137608
3.708320009,3.635522463,3.460533849
3.708320009,4.197224068,3.969142466
3.708320009,3.556103074,3.609342993
3.708320009,2.568598549,2.467506335
3.708320009,2.537871085,2.162133015
3.708320009,3.408637741,2.818580001
3.708320009,4.588709797,4.663168721
3.708320009,4.220570011,3.941570201
3.708320009,3.366739191,3.032208232
3.708320009,3.768460039,3.431988777
3.708320009,3.314640968,3.233478698
3.708320009,3.282940808,3.169196985
3.708320009,3.948444624,3.994381668
3.708320009,4.686468599,4.805652056
3.708320009,3.176144562,3.136206857
3.708320009,3.317968763,3.465755742
3.708320009,2.830805059,2.358223937
3.708320009,4.230436879,3.947714031
3.708320009,4.305486947,4.299920411
3.708320009,3.572312211,3.665025335
3.708320009,3.329001574,3.358724335
3.708320009,4.75780925,4.805797359
3.708320009,3.283888256,3.741820501
3.708320009,4.169179135,4.202472297
3.708320009,3.638319344,3.455176421
3.708320009,4.044828854,3.596888215
3.708320009,5.143916403,4.721404642
3.708320009,4.6050602,4.501821657
3.708320009,3.47201566,3.396388231
3.708320009,2.79416649,2.8124158
3.708320009,4.467192977,4.327096111
3.708320009,4.556547286,4.397885284
3.708320009,3.337461913,3.3003447
3.708320009,2.768847127,2.915891271
3.708320009,4.662677114,4.579706053
3.708320009,3.589985418,3.388996005
3.708320009,3.746359385,3.744020442
3.708320009,2.669272241,2.911656221
3.708320009,2.587541878,2.740116018
3.708320009,3.986056372,3.990462052
3.708320009,3.439997814,3.444282945
3.708320009,4.266996428,4.389987861
3.708320009,3.958481199,4.197597998
3.708320009,3.194581476,3.230202312
3.708320009,4.222453236,4.271476255
3.708320009,2.418863553,2.411045778
3.708320009,3.723400951,3.717672616
3.708320009,3.610440808,3.66860029
3.708320009,3.852109093,3.869023574
3.708320009,3.443281984,3.306703246
3.708320009,3.882164508,4.003915678
3.708320009,3.833758093,3.685522867
3.708320009,3.009240218,3.191186592
3.708320009,4.308172346,3.86971401
3.708320009,2.562549679,2.548028396
3.708320009,3.941902396,3.821855438
3.708320009,3.359760476,3.509859085
3.708320009,4.5253478,4.382349999
3.708320009,2.678222889,2.59197348
3.708320009,4.328494845,4.147114303
3.708320009,4.778758644,4.397717959
3.708320009,2.797045577,3.264034076
3.708320009,3.88542447,3.803413796
3.708320009,3.945332006,4.014571668
3.708320009,4.088621869,4.110962789
3.708320009,4.935418535,4.873539935
3.708320009,3.6286054,3.749232705
3.708320009,4.658479522,4.783589486
3.708320009,3.260313608,3.494228147
3.708320009,3.485085,3.556191759
3.708320009,2.651710002,2.815975775
3.708320009,3.688685097,3.689249896
3.708320009,2.999977824,2.694278964
3.708320009,3.990782538,4.041439813
3.708320009,3.682030709,3.773153261
3.708320009,3.519419791,3.473020684
3.708320009,3.767244465,3.76922318
3.708320009,2.71226607,2.843759778
3.708320009,4.339064519,4.673772341
3.708320009,3.514255777,3.153246954
3.708320009,4.050532419,3.846448661
3.708320009,2.959077814,2.795055975
3.708320009,3.701510178,3.979896396
3.708320009,2.598236427,2.572171865
3.708320009,3.810207301,3.732082557
3.708320009,4.186838861,4.219821153
3.708320009,3.38628753,3.709144612
3.708320009,4.045495394,3.924801893
3.708320009,2.947932522,2.967742183
3.708320009,3.107174947,3.178425128
3.708320009,3.640939337,3.219471643
3.708320009,2.561990349,2.561326541
3.708320009,2.56369937,2.975856557
3.708320009,3.309700059,3.312335218
3.708320009,3.264971606,3.51768086
3.708320009,3.361546051,3.493987669
3.708320009,3.946224978,3.72698252
3.708320009,3.080873504,3.206436836
3.708320009,3.209087464,2.837847727
3.708320009,3.550422175,3.267989132
3.708320009,3.55998432,3.65185449
3.708320009,3.548073369,3.435269623
3.708320009,3.8128339,4.131866311
3.708320009,3.865567063,3.508975644
3.708320009,3.595216066,3.737795025
3.708320009,3.978586735,3.859625492
3.708320009,4.205116422,4.333123553
3.708320009,4.423629535,4.417407088
3.708320009,3.373883972,3.492815618
3.708320009,4.180848255,4.377367157
3.708320009,2.639488284,2.908707158
3.708320009,3.947160099,3.937384591
3.708320009,3.036062651,2.869469824
3.708320009,4.264160694,4.296026608
3.708320009,2.921334541,2.670487113
3.708320009,3.374346325,3.576662561
3.708320009,3.495343242,3.371286588
3.708320009,2.613813904,2.732625812
3.708320009,3.715337556,3.609774213
3.708320009,3.74411075,3.696018144
3.708320009,4.932196766,4.810799589
3.708320009,3.381105391,3.319549525
3.708320009,4.561435741,4.483471471
3.708320009,3.723834776,3.578419413
3.708320009,3.671118301,3.700943947
3.708320009,4.182973105,4.100749825
3.708320009,4.091684246,4.138390104
3.708320009,3.781685591,3.88515401
3.708320009,3.070072378,3.085611241
3.708320009,4.128233309,3.881818017
3.708320009,3.870648244,3.636969914
3.708320009,4.001349834,3.93379309
3.708320009,3.875168251,4.16975714
3.708320009,3.014679943,2.765355955
3.708320009,3.121663968,2.846239587
3.708320009,4.488704187,4.537418884
3.708320009,4.30988431,4.685701933
3.708320009,4.239698658,4.039972117
3.708320009,4.380123259,4.364847924
3.708320009,5.420963624,5.130763732
3.708320009,4.960867764,5.015003551
3.708320009,4.625126168,4.752251462
3.708320009,3.317335321,3.347227868
3.708320009,3.744762179,3.61225859
3.708320009,4.333261727,4.365679526
3.708320009,3.208591283,2.932753057
3.708320009,3.701999329,3.682938588
3.708320009,3.824739325,3.588342245
3.708320009,4.758293481,4.307643844
3.708320009,3.269882853,3.357618431
3.708320009,3.063642217,3.286541025
3.708320009,3.821200556,3.920141682
3.708320009,4.398136904,4.752718291
3.708320009,3.402915254,3.814928023
3.708320009,2.445474423,2.801847701
3.708320009,4.346214308,4.479215619
3.708320009,3.819095446,3.842832855
3.708320009,2.538439875,2.594049722
3.708320009,3.55823047,3.772083598
3.708320009,3.371538179,3.38341423
3.708320009,3.337732918,3.291266343
3.708320009,3.759193912,3.570315899
3.708320009,5.01834025,5.198411198
3.708320009,4.314051926,4.525932129
3.708320009,4.444914768,4.362719749
3.708320009,2.540530201,2.590073452
3.708320009,4.19724643,4.147384552
3.708320009,3.484743586,3.535687566
3.708320009,3.284731867,3.541189025
3.708320009,4.267976242,4.386044581
3.708320009,4.146716019,4.188287478
3.708320009,3.898376225,4.080051276
3.708320009,3.389680909,3.242879123
3.708320009,2.962181656,3.212565323
3.708320009,3.840064883,3.854729213
3.708320009,3.152979658,3.36010228
3.708320009,3.627898257,3.687538402
3.708320009,2.74874903,2.785918025
3.708320009,3.7087469,4.173687672
3.708320009,4.912388486,4.599320927
3.708320009,4.99793062,4.768096099
3.708320009,3.624943705,3.711333384
3.708320009,4.016282905,4.241488588
3.708320009,3.016940808,3.158884872
3.708320009,3.984196793,4.033709974
3.708320009,2.824125001,2.884420106
3.708320009,3.027197942,3.162201201
3.708320009,4.930210721,4.890274719
3.708320009,2.719646007,2.859151777
3.708320009,4.655866918,4.541948472
3.708320009,4.112660185,3.849442733
3.708320009,4.006870153,3.93435352
3.708320009,3.336093641,3.17337217
3.708320009,4.742227595,4.885707655
3.708320009,2.308735722,2.533587684
3.708320009,3.720953716,3.410346775
3.708320009,2.906667732,3.144087024
3.708320009,3.678544853,3.890663904
3.708320009,4.00503764,3.800041946
3.708320009,3.723890418,3.736456637
3.708320009,3.096600139,3.070777723
3.708320009,4.027195305,4.507280191
3.708320009,3.093293308,2.649755593
3.708320009,3.973546954,4.033603955
3.708320009,2.598686832,2.448026443
3.708320009,3.834100825,3.772679865
3.708320009,3.483076517,3.806683946
3.708320009,3.134823819,2.973864136
3.708320009,3.005051033,3.191526009
3.708320009,3.723080577,3.990246044
3.708320009,4.083889424,4.08451202
3.708320009,3.9192163,3.925420527
3.708320009,3.48932165,3.523830363
3.708320009,3.488033801,3.565310261
3.708320009,5.094931628,4.978128898
3.708320009,5.252384295,5.046341842
3.708320009,3.558033952,3.577249694
3.708320009,4.04545187,3.825211079
3.708320009,4.528623463,4.615994163
3.708320009,3.883076973,3.800940636
3.708320009,3.854595306,3.658811545
3.708320009,4.164180775,4.269402665
3.708320009,3.026965094,3.265629393
3.708320009,3.151563535,3.026089361
3.708320009,3.365429512,3.303815757
3.708320009,3.889971917,3.973183856
3.708320009,4.157047426,4.066682703
3.708320009,4.167984324,4.091904007
3.708320009,3.212534403,3.305875103
3.708320009,3.152335775,3.240333709
3.708320009,3.05425363,2.852460942
3.708320009,4.17247791,4.156489637
3.708320009,3.310452508,3.437774548
3.708320009,4.019436167,3.765581598
3.708320009,3.080709831,2.93157492
3.708320009,3.063997081,3.45759863
3.708320009,2.426990952,2.236425942
3.708320009,3.900221587,3.771106998
3.708320009,4.638110096,4.547274718
3.708320009,4.045020485,3.999503878
3.708320009,5.051369207,4.738980937
3.708320009,3.081839316,2.921871842
3.708320009,3.850233991,3.889087855
3.708320009,3.237645136,3.265516855
3.708320009,3.076628608,3.33872675
3.708320009,3.370328954,3.3605821
3.708320009,5.271130392,5.143912613
3.708320009,3.562669008,3.526318879
3.708320009,3.342681996,3.031275742
3.708320009,4.634672398,4.528785639
3.708320009,4.615276891,4.658165401
3.708320009,3.232738219,3.461326006
3.708320009,4.443022673,4.636391236
3.708320009,4.717329885,4.83851796
3.708320009,3.99545026,3.958172401
3.708320009,2.925747487,2.593314287
3.708320009,3.838548728,3.668562364
3.708320009,2.610146999,2.991397614
3.708320009,3.02912849,2.921400096
