P_1_6,P_2_6,P_3_6,P_4_6,P_5_6,P_6_6
3.659297345,4.093789325,4.144294829,5.25581947,5.790781514,5.807385083
3.659297345,4.253495588,4.321489626,3.809168389,3.935072428,3.845005328
3.659297345,4.367634582,4.577658139,4.753001315,4.148551512,3.909244991
3.659297345,3.310235746,3.379890194,3.82827125,3.303766118,3.244708967
3.659297345,3.084617423,3.439884839,3.807588924,4.56862533,4.564361009
3.659297345,4.297640983,4.139427544,3.598699498,3.408378091,3.194040235
3.659297345,3.628532321,3.465359844,3.027052167,3.070504532,2.964113614
3.659297345,3.352545089,3.189754976,2.00797169,1.905798968,1.721990283
3.659297345,3.303303869,3.764276109,4.001575455,4.388461138,4.549344922
3.659297345,3.44029234,3.743610147,3.637885553,2.766106922,2.604471198
3.659297345,3.932860694,3.807468512,4.36326241,4.523882513,4.564092978
3.659297345,4.141173077,4.27014578,4.611319213,5.200660125,5.13721405
3.659297345,4.49856837,4.202998579,3.538051196,3.166827552,2.779210691
3.659297345,3.194973808,3.065020283,3.223563237,3.482538438,3.580001377
3.659297345,4.268374496,4.29387535,4.590718944,4.059815568,4.316722348
3.659297345,3.578227665,3.854783575,4.082029052,3.669734598,3.236693638
3.659297345,3.913259491,4.063868592,4.272983042,4.579532371,4.157768556
3.659297345,4.369043069,4.214208861,4.744425981,5.107308717,5.101526377
3.659297345,3.964697253,4.285378737,5.698110396,6.443932121,6.21728063
3.659297345,3.833942968,3.591343023,4.412782771,3.706199527,3.645243506
3.659297345,4.206159289,4.254105101,4.039367315,3.550559047,3.679672933
3.659297345,2.834419279,2.873449638,2.653060671,2.953926855,3.28761681
3.659297345,2.732565484,2.767383653,3.02590442,3.098184662,3.522482037
3.659297345,2.780266674,3.063001873,3.428646957,3.707234343,3.654851603
3.659297345,3.84979045,3.551833404,2.992358615,3.561593436,3.84766444
3.659297345,3.461211834,3.393266523,3.318261098,3.758379527,3.106389031
3.659297345,3.839911679,3.871300665,4.159555761,3.82913698,4.175304253
3.659297345,4.192804855,3.980642679,4.611047812,4.335140964,3.991379715
3.659297345,3.455344401,3.403457077,3.339215401,3.896226029,3.977860791
3.659297345,3.364023529,3.285743762,4.11134275,3.730121214,3.583338811
3.659297345,3.25767092,3.042402644,2.946547848,3.64433298,3.471326979
3.659297345,2.456608214,2.621940404,4.388379024,5.262801229,5.429901506
3.659297345,4.083022237,4.117591324,2.252500466,3.368080962,3.288823543
3.659297345,3.139381482,3.141304015,2.126465643,2.112999292,1.8435662
3.659297345,3.039856339,3.032893087,3.313916933,2.638930555,2.325831892
3.659297345,4.686441655,4.662829534,4.037874489,4.215644377,3.926602232
3.659297345,3.965385822,3.784693371,4.420747411,4.67336527,4.300178173
3.659297345,3.51485316,3.540645643,3.352585197,3.461189915,3.498754161
3.659297345,3.946421869,4.346914181,4.083660077,3.914752366,3.883089905
3.659297345,3.272992834,3.321143431,2.378042573,2.548021585,2.424767458
3.659297345,4.146620058,4.297184886,4.299710742,3.848307268,4.152772728
3.659297345,4.552536228,4.594375229,4.989645182,5.286817536,5.332293092
3.659297345,3.012820565,3.082795131,3.988092332,4.261767883,4.919094367
3.659297345,3.483704793,3.531001904,4.378233787,3.360479646,3.30062871
3.659297345,2.920248321,2.569708481,2.054751176,2.295466362,1.783156091
3.659297345,4.615744371,4.467920372,4.453292816,5.280691019,5.277906706
3.659297345,3.703015702,3.321011116,3.3106081,4.399980033,3.845694371
3.659297345,2.922155377,3.172478745,2.775445756,3.244993497,3.455303655
3.659297345,3.410833829,3.564596778,2.595142395,2.605293891,2.86244431
3.659297345,3.160642822,3.587385197,2.878638503,2.921971304,2.600988988
3.659297345,4.59118626,4.906962907,4.560967626,4.773742978,5.031260769
3.659297345,4.225434242,4.14308123,3.790332128,4.549450374,4.433221696
3.659297345,2.573502821,2.524938677,0.61714223,-0.735015874,-0.559532897
3.659297345,4.291143688,4.912310863,4.532382478,4.261796821,3.917579029
3.659297345,3.555215932,3.448662873,3.607472011,4.22625729,4.248614427
3.659297345,3.30475167,3.045144183,3.138459833,2.916915715,3.001230643
3.659297345,3.53075486,3.677181085,3.747605428,3.448900738,3.609406304
3.659297345,1.907789391,2.17615824,3.234081297,2.19913717,2.144824522
3.659297345,4.783880611,4.773310866,4.191886727,4.600116614,4.458242131
3.659297345,4.300418883,4.392337523,5.123424179,4.97369627,5.058619561
3.659297345,3.975962464,3.99034316,3.771292923,3.696867033,3.565154225
3.659297345,3.257885131,3.150383637,2.707076539,2.996872995,3.194719519
3.659297345,3.71429056,3.595992009,3.509336341,2.643613059,2.418103329
3.659297345,3.885374649,3.851310328,5.446793818,5.458869399,5.323405475
3.659297345,3.751554664,3.572715203,3.093196638,3.307692965,3.606551815
3.659297345,3.49582599,3.218786641,3.618691355,3.426815659,3.736457501
3.659297345,3.871907046,3.840866704,2.01834603,1.425416344,1.567249318
3.659297345,3.107560461,3.235593184,3.665729231,3.256035108,3.44199746
3.659297345,3.885338516,3.815359389,3.268380657,3.292646347,3.514450591
3.659297345,4.795110484,4.777949744,3.981586316,3.747996424,4.104472884
3.659297345,3.620997963,3.444284688,3.441505692,4.356587615,4.062971782
3.659297345,4.085126342,3.995739515,3.29934407,3.064886453,3.174019827
3.659297345,3.990074672,3.611159265,3.247299572,3.694672984,3.504791015
3.659297345,3.630801774,3.591411321,2.420656847,2.888261433,2.952191138
3.659297345,2.873990222,2.679587549,2.916095683,2.969090257,3.101182074
3.659297345,4.258604895,4.129810747,3.280243346,3.815801181,3.477059516
3.659297345,3.130807525,2.992271067,2.42946898,2.344857574,2.180437853
3.659297345,3.803944251,3.586021147,2.529961492,2.219827764,1.699109706
3.659297345,4.012508389,4.181955298,4.340059512,3.57691194,3.451830713
3.659297345,3.361655954,2.950060923,1.890382579,1.467906211,1.612941431
3.659297345,2.868625602,2.980461304,3.494224025,4.162652533,3.85564395
3.659297345,3.545055633,3.539160018,3.086961722,2.831684312,3.004345682
3.659297345,3.519199272,3.615019883,3.565895932,3.893156553,3.797217309
3.659297345,4.295197817,4.083241635,5.057921463,5.167121247,5.153805671
3.659297345,3.477452793,3.882811631,3.550547663,3.351658878,3.429218354
3.659297345,3.217141297,3.23627177,0.492515678,0.526884018,0.690314703
3.659297345,4.273899245,4.264350355,4.15231955,4.263181501,4.245365503
3.659297345,4.527431424,4.53947079,4.612633461,4.328291078,4.436967473
3.659297345,4.73458573,4.790452042,5.091721253,5.997759472,5.803321062
3.659297345,4.129255179,3.965513823,4.063647041,4.520513565,4.644437102
3.659297345,4.457787425,4.695739787,4.351369099,4.234583532,4.611383211
3.659297345,4.039086967,4.267715464,4.590020604,4.371263019,4.526950152
3.659297345,1.695832511,1.856897415,1.352764288,0.535403116,0.271403359
3.659297345,4.834774448,4.779885032,3.921038479,3.573662272,3.128556194
3.659297345,3.149848927,2.984001335,4.396036817,3.990536827,3.690268104
3.659297345,4.350279521,3.94270138,4.764397116,5.367497254,5.00960637
3.659297345,3.613868823,3.777611234,3.493815393,3.420302019,3.368883855
3.659297345,3.475396973,3.280934778,3.804328511,3.145643669,3.329277652
3.659297345,3.416922082,3.380406057,4.946452672,5.336891574,5.462246354
3.659297345,2.946157707,2.75935723,2.907097931,3.317388852,3.374576406
3.659297345,2.664252425,2.715051544,2.735493444,2.635449486,2.743783852
3.659297345,3.139257684,3.305838878,3.977492463,3.644799881,3.179571976
3.659297345,3.440327629,3.70928531,2.350817082,2.857380692,2.830935683
3.659297345,2.755245955,2.814416089,2.59816652,2.214105029,2.271637624
3.659297345,4.186904333,4.234848065,2.2836354,2.296089187,2.265632956
3.659297345,3.884391757,3.844965072,4.706954147,4.895304533,4.643699383
3.659297345,4.181467792,4.117003609,4.162373668,4.324271617,4.45157637
3.659297345,3.616701346,3.363070703,2.96954764,3.020168651,3.068047122
3.659297345,2.906324153,2.477285171,4.132553361,3.617627378,3.243498007
3.659297345,3.731023447,3.46774863,4.842080616,5.738861985,6.047563786
3.659297345,2.266310683,2.328532323,2.029283986,2.527608542,2.87708548
3.659297345,3.640788951,3.931126203,5.045028432,4.960423255,4.953643026
3.659297345,3.611338048,3.486661386,2.636680665,3.110496557,2.66086391
3.659297345,3.39748625,3.458757283,2.693851207,2.896557604,3.184173399
3.659297345,2.038097452,2.023164468,2.690688474,2.928817691,2.933194682
3.659297345,2.125430978,1.915203325,2.090369614,1.309704824,1.23686641
3.659297345,3.464104831,3.647315698,3.43502163,3.261108256,3.165966995
3.659297345,4.368354085,4.108055245,4.197574888,3.574324178,3.88682058
3.659297345,4.907156636,4.412374499,4.269787034,4.177387968,3.890134417
3.659297345,4.12433879,4.484543222,4.442133956,5.160616546,5.097462314
3.659297345,3.63937557,3.931361322,3.752905907,3.256169958,3.399419415
3.659297345,4.221029663,4.36504107,4.348346119,3.773506994,3.461165031
3.659297345,3.30436129,3.259148973,3.077800328,2.889211804,2.893058145
3.659297345,3.427845954,3.107532218,3.830529777,3.256146467,3.117189616
3.659297345,2.296038854,2.30019366,2.846335165,2.692840703,2.7639748
3.659297345,2.705241738,3.247405319,3.056465817,3.254452068,3.345840209
3.659297345,3.118866223,3.137461486,3.111408705,3.255218784,3.163997297
3.659297345,3.806969375,3.705759668,2.9905931,2.510545049,2.487307448
3.659297345,3.848743592,3.939745496,4.442217996,4.152367769,4.587785021
3.659297345,3.466374659,3.538717412,4.01385846,3.645252277,3.875298036
3.659297345,4.329108135,4.171150145,2.322390883,1.863320328,1.938953502
3.659297345,3.62537058,3.685256401,3.681692761,3.240775811,2.95621811
3.659297345,3.813788472,4.032421745,2.331486895,2.692167404,2.564492566
3.659297345,2.994139581,2.664114696,2.504686063,2.658391729,2.542610344
3.659297345,3.528987269,3.610318223,2.593439251,2.137728588,2.592065325
3.659297345,3.604271962,3.722379527,2.920708141,2.826610442,3.152607654
3.659297345,3.92594561,3.573471899,2.874477325,3.187448779,3.247847433
3.659297345,4.165485334,4.026852087,3.500500995,3.235354355,3.188337057
3.659297345,4.516908314,4.445290029,3.841001762,3.8508993,4.040262774
3.659297345,4.011236003,4.12471229,3.177982287,3.135929617,3.373534534
3.659297345,4.984844902,4.730671513,3.935800878,3.978359688,3.924232217
3.659297345,4.383207085,4.040266401,2.631738428,2.579436052,2.371422914
3.659297345,3.757642645,3.797261362,4.03994018,3.074437792,3.032445431
3.659297345,3.245184421,3.577989855,3.795199229,4.006807101,4.194575399
3.659297345,2.417072555,2.39988921,3.387737544,3.44101288,3.095901241
3.659297345,5.079200603,4.768606159,5.313803551,5.161193361,5.170205767
3.659297345,3.759163475,3.657133612,4.228396812,4.192888065,4.673370311
3.659297345,3.986373892,4.032682287,3.901827001,3.213969648,3.099805264
3.659297345,2.968521954,3.071137105,1.769402164,2.520261715,2.144580345
3.659297345,2.780732831,2.720546777,3.389674095,3.638315959,3.603579713
3.659297345,4.413807604,4.277801532,4.912131569,5.527841511,5.651388996
3.659297345,4.225526333,3.815454672,3.582597443,3.589190931,3.476859874
3.659297345,3.856858189,4.051329524,1.962313448,2.067231225,2.102106584
3.659297345,4.224664889,4.183754628,4.922686664,5.426837009,5.660660572
3.659297345,4.006496257,3.953437324,4.873443378,5.134827257,5.273901147
3.659297345,3.887086241,4.104021224,3.686104206,3.680861712,3.456330298
3.659297345,3.303638884,3.387067524,3.161626057,2.885437085,3.394886664
3.659297345,4.791048754,4.655528388,3.693845326,3.392678896,3.682753666
3.659297345,4.050549007,3.85782525,2.873159277,2.30028277,2.325373824
3.659297345,4.4156299,4.288566855,3.777051114,3.254014141,3.262526348
3.659297345,3.978467466,3.570614192,3.615106183,3.979001266,3.91517116
3.659297345,3.722881162,3.616082836,3.536575815,3.629609007,3.24820395
3.659297345,2.598878599,3.019577582,2.813042718,2.023845945,1.859872234
3.659297345,4.328556455,4.482633667,4.666592033,4.592938526,4.758146736
3.659297345,2.304042704,2.539194489,0.712002768,0.490415644,0.429640829
3.659297345,4.807189085,4.778146608,3.681089793,4.010401585,3.865063964
