P_1_4,P_2_4,P_3_4,P_4_4
3.656268689,3.826612171,4.082268384,4.15005558
3.656268689,4.471184757,4.40288202,3.905075458
3.656268689,2.772183231,2.466924958,3.412521823
3.656268689,2.408447259,2.484385244,2.878536924
3.656268689,2.507785846,2.250169499,3.141343936
3.656268689,2.483920124,2.663400955,3.858820032
3.656268689,3.25893055,3.515735607,3.355585862
3.656268689,3.794658742,3.383871711,3.518554412
3.656268689,4.085110526,4.177889354,4.170528278
3.656268689,3.096523875,3.084681799,2.101708527
3.656268689,4.145668231,4.16377162,4.922538826
3.656268689,4.083071769,4.131846895,5.257650759
3.656268689,4.218894889,4.284420068,3.781132752
3.656268689,4.360552709,4.562099454,4.748423988
3.656268689,3.319637326,3.386012535,3.852845368
3.656268689,3.079992108,3.420770083,3.816173313
3.656268689,4.266737679,4.114851544,3.570326869
3.656268689,3.64100799,3.484397351,3.033233794
3.656268689,3.334379281,3.178135313,1.979934151
3.656268689,3.313918042,3.756151721,4.011934952
3.656268689,3.429337262,3.720403686,3.615723015
3.656268689,3.932881976,3.812497178,4.373179257
3.656268689,4.137143564,4.261074926,4.610455994
3.656268689,4.454496096,4.170876389,3.511658324
3.656268689,3.181368919,3.057062879,3.227937759
3.656268689,4.240919044,4.265445884,4.570103739
3.656268689,3.579730016,3.845388338,4.093354414
3.656268689,3.899006376,4.043393109,4.254804702
3.656268689,4.347068802,4.198853534,4.734584134
3.656268689,3.951710141,4.259180716,5.690624453
3.656268689,3.839053456,3.606803643,4.44695938
3.656268689,4.20235725,4.248839565,4.036678376
3.656268689,2.869776421,2.907596548,2.654917074
3.656268689,2.747447757,2.780857265,3.031063499
3.656268689,2.792433055,3.064172404,3.443019419
3.656268689,3.824703981,3.538962424,2.96997493
3.656268689,3.465299569,3.400528377,3.317191204
3.656268689,3.865697186,3.896058216,4.166579988
3.656268689,4.173023344,3.969884028,4.607898394
3.656268689,3.44212351,3.392132026,3.335016275
3.656268689,3.37895429,3.304420522,4.129080917
3.656268689,3.25119396,3.044498287,2.951153909
3.656268689,2.47726686,2.635790227,4.414328741
3.656268689,4.076892061,4.109965415,2.220672892
3.656268689,3.137441065,3.139248667,2.095528297
3.656268689,3.017789005,3.011208548,3.308483865
3.656268689,4.670332175,4.64771227,4.021156454
3.656268689,3.952500537,3.779082705,4.42992144
3.656268689,3.513019754,3.537412783,3.34055909
3.656268689,3.971306789,4.355190285,4.076760819
3.656268689,3.270876548,3.317439156,2.364541707
3.656268689,4.161616523,4.305848316,4.301720349
3.656268689,4.558099862,4.598369292,5.018347265
3.656268689,3.01163419,3.078564287,4.002098897
3.656268689,3.471740256,3.517032893,4.370921778
3.656268689,2.901421462,2.565087559,2.052221821
3.656268689,4.598973516,4.457233487,4.443868612
3.656268689,3.656339667,3.289974051,3.296295547
3.656268689,2.932277916,3.172274594,2.775668568
3.656268689,3.427472713,3.575208165,2.59062735
3.656268689,3.180997355,3.589911469,2.858945192
3.656268689,4.622631819,4.925364292,4.572899558
3.656268689,4.202863835,4.123823966,3.767502954
3.656268689,2.583700846,2.537011451,0.591692548
3.656268689,4.296387669,4.892005911,4.516082258
3.656268689,3.531433607,3.42920333,3.602161491
3.656268689,3.29634249,3.047137061,3.135838867
3.656268689,3.521003899,3.660994465,3.735755509
3.656268689,1.938179192,2.195435848,3.253823527
3.656268689,4.766066231,4.756462739,4.15194349
3.656268689,4.309745257,4.397825784,5.139439622
3.656268689,3.964415438,3.978610379,3.755349168
3.656268689,3.260542775,3.157912852,2.717956897
3.656268689,3.70607203,3.592557486,3.513099425
3.656268689,3.882607808,3.849799572,5.474502455
3.656268689,3.738296479,3.566198818,3.077680583
3.656268689,3.487269209,3.222033446,3.646707665
3.656268689,3.858038812,3.828322984,1.991064023
3.656268689,3.121700048,3.244435769,3.685641866
3.656268689,3.86042244,3.793252301,3.242976915
3.656268689,4.771510979,4.755237567,3.953342
3.656268689,3.611567461,3.442119453,3.422174449
3.656268689,4.067826095,3.982239709,3.277012063
3.656268689,3.98659338,3.623211343,3.249899575
3.656268689,3.621562431,3.583902452,2.397899605
3.656268689,2.871460587,2.684488496,2.933030616
3.656268689,4.248445388,4.124638244,3.273135168
3.656268689,3.106165834,2.973193893,2.425220294
3.656268689,3.80914817,3.599961232,2.499811563
3.656268689,3.999216132,4.161419296,4.32312156
3.656268689,3.341401655,2.946214535,1.872685137
3.656268689,2.889737123,2.996854219,3.511167403
3.656268689,3.514369009,3.508570008,3.059101235
3.656268689,3.519134428,3.611714435,3.563202733
3.656268689,4.270892425,4.067755144,5.048244197
3.656268689,3.506521229,3.895461958,3.563144501
3.656268689,3.230690807,3.249152984,0.458798107
3.656268689,4.256120086,4.247045079,4.148600745
3.656268689,4.505833305,4.517470198,4.600320059
3.656268689,4.714351467,4.768498503,5.086168688
3.656268689,4.123446822,3.96600738,4.056211065
3.656268689,4.463432125,4.692181846,4.350203364
3.656268689,4.057011505,4.276504633,4.607664703
3.656268689,1.714385382,1.869242985,1.350700219
3.656268689,4.80800793,4.755341617,3.902760852
3.656268689,3.154620123,2.996189561,4.422487685
3.656268689,4.296401512,3.905913541,4.769355638
3.656268689,3.633034242,3.790240273,3.49776375
3.656268689,3.435243321,3.248907192,3.779859962
3.656268689,3.38270934,3.347961427,4.930318156
3.656268689,2.950574409,2.77088827,2.914769928
3.656268689,2.670936444,2.720108158,2.742971142
3.656268689,3.150075978,3.309909716,3.976452206
3.656268689,3.437005679,3.694699675,2.313354391
3.656268689,2.723446946,2.780362029,2.57736291
3.656268689,4.153410963,4.199298749,2.23703471
3.656268689,3.848287288,3.810487068,4.698661418
3.656268689,4.1615075,4.099847569,4.158654821
3.656268689,3.594962065,3.351919788,2.953669362
3.656268689,2.898903475,2.487938263,4.158019483
3.656268689,3.72367818,3.471427738,4.850355996
3.656268689,2.285165706,2.344898436,2.033461164
3.656268689,3.651205967,3.929900119,5.037981736
3.656268689,3.600578254,3.481220132,2.62437695
3.656268689,3.394885234,3.453806689,2.681323073
3.656268689,2.032775421,2.018632691,2.701658712
3.656268689,2.12246592,1.921035479,2.101088965
3.656268689,3.445237368,3.621087146,3.416385769
3.656268689,4.364641971,4.114723951,4.218350153
3.656268689,4.870094131,4.395729862,4.264395858
3.656268689,4.126919277,4.472555795,4.427935148
3.656268689,3.676280873,3.956235318,3.76974582
3.656268689,4.233992614,4.37191755,4.343352395
3.656268689,3.289068782,3.246298606,3.05910735
3.656268689,3.429002669,3.121586602,3.858190761
3.656268689,2.287110125,2.291184077,2.859273172
3.656268689,2.733497627,3.253890786,3.054002417
3.656268689,3.116065865,3.134084742,3.107874092
3.656268689,3.782714845,3.685417971,2.948296632
3.656268689,3.870532009,3.95801527,4.451503143
3.656268689,3.476682559,3.546382877,4.018458517
3.656268689,4.31722781,4.166151115,2.284856474
3.656268689,3.602386294,3.659465856,3.668516126
3.656268689,3.826201288,4.035387466,2.312734418
3.656268689,2.976173848,2.659383699,2.511000853
3.656268689,3.557094717,3.63517256,2.606552907
3.656268689,3.601553896,3.714598236,2.900190614
3.656268689,3.889257718,3.551465165,2.832162092
3.656268689,4.158676803,4.025861992,3.500419376
3.656268689,4.497708957,4.429106981,3.814001695
3.656268689,4.018060825,4.126923505,3.159046741
3.656268689,4.967514021,4.72363102,3.922856027
3.656268689,4.354912924,4.025713455,2.587986279
3.656268689,3.762768829,3.800887033,4.033256322
3.656268689,3.273065736,3.592574211,3.802373672
3.656268689,2.412234307,2.395758843,3.399273126
3.656268689,5.020198939,4.722636346,5.293661431
3.656268689,3.748316723,3.650598457,4.227761892
3.656268689,4.003574529,4.048048644,3.917680614
3.656268689,2.96153178,3.059539626,1.7410405
3.656268689,2.783029666,2.725200919,3.410019565
3.656268689,4.399947197,4.269934948,4.923499889
3.656268689,4.213243756,3.819357734,3.587252434
3.656268689,3.859323541,4.045763716,1.930064676
3.656268689,4.229408974,4.19082119,4.930980308
3.656268689,4.008111217,3.957486032,4.874992868
3.656268689,3.886634952,4.094601678,3.668022574
3.656268689,3.308783921,3.388339515,3.160026719
3.656268689,4.783334457,4.653112468,3.66785876
3.656268689,4.034465243,3.849849518,2.846884523
3.656268689,4.4027806,4.280872211,3.762450468
3.656268689,3.94580529,3.55488645,3.609737224
3.656268689,3.724278176,3.622443589,3.539162413
3.656268689,2.635719637,3.039185611,2.822046356
3.656268689,4.333187859,4.481176352,4.672819212
3.656268689,2.304054765,2.529497253,0.688349487
3.656268689,4.794953019,4.766990124,3.655934793
3.656268689,2.856926053,2.932310273,3.50031177
3.656268689,2.99315339,2.9064769,4.638218538
3.656268689,4.346550651,4.275148369,3.618460868
3.656268689,4.200631813,4.136905978,2.71077589
3.656268689,5.150943471,5.180407406,5.70580697
3.656268689,3.346614362,3.540689837,3.212901038
3.656268689,4.741793899,4.474389211,3.892857242
3.656268689,4.326715688,4.409483852,3.579175818
3.656268689,4.387426132,4.191926239,3.360367405
3.656268689,3.922763662,3.89049935,3.737098028
3.656268689,4.046291725,4.219919324,4.064308779
3.656268689,3.218567688,3.335669513,3.684190984
3.656268689,3.120323706,3.001670341,3.673363188
3.656268689,2.100378384,2.082942727,1.090298132
3.656268689,3.004654636,3.283563302,3.724227369
3.656268689,2.816629619,2.812129475,0.98060175
3.656268689,3.602428962,3.699591575,4.662830518
3.656268689,4.802188865,4.734756793,4.368354681
3.656268689,4.759176736,4.901486525,3.606772519
3.656268689,3.967232464,4.084522046,4.643086074
3.656268689,3.656439089,3.824189751,2.584733862
3.656268689,3.448039117,3.431670687,3.864203849
3.656268689,4.553166035,4.62449932,4.227768165
3.656268689,3.219896994,3.313094614,2.914405291
3.656268689,4.623582289,4.353931716,5.183051598
3.656268689,3.194014233,3.425322226,4.075024773
3.656268689,2.9081173,2.553700386,0.922751497
3.656268689,4.74204394,4.546019002,4.38672204
3.656268689,3.161265008,3.180613957,1.897136468
3.656268689,3.531209528,3.163027282,4.773036772
3.656268689,4.796377578,4.709651004,4.209643294
3.656268689,2.882854929,2.797573168,3.166023209
3.656268689,3.492592926,3.604211833,4.325732842
3.656268689,3.989568827,3.898681141,3.939226893
3.656268689,3.713132029,3.435567158,3.455454346
3.656268689,2.900992152,3.095503147,4.372827422
3.656268689,2.963118799,3.026052495,4.500755088
3.656268689,3.757934067,3.879169316,3.138722069
3.656268689,4.458780656,4.417402294,4.475188489
3.656268689,2.637102443,2.800722993,0.379240924
3.656268689,4.154931209,4.196707813,4.633155243
3.656268689,3.226797923,2.987834389,3.469464033
3.656268689,4.50798172,4.347747247,4.600287297
3.656268689,3.517124367,3.722130235,4.313035983
3.656268689,3.812734207,3.557951188,3.815853937
3.656268689,4.437833375,4.196205076,4.12620765
3.656268689,3.707436724,3.878477541,3.97905939
3.656268689,3.75048607,3.708328843,2.926293904
3.656268689,2.066923111,2.02888183,2.916706334
3.656268689,3.761658397,3.542386599,3.259130169
3.656268689,3.889373912,3.607804332,3.592525913
3.656268689,3.258115096,2.824215497,0.761340199
3.656268689,2.411210941,1.993452279,1.78463475
3.656268689,4.672084003,4.924018506,5.411011934
3.656268689,4.06270234,3.652628823,4.199735199
3.656268689,4.726483507,4.788512437,6.587403276
3.656268689,3.800029903,3.826662818,3.447183883
3.656268689,3.466211021,3.453580478,3.016739879
3.656268689,3.967676402,4.130891666,3.992583804
3.656268689,3.277713525,3.602197803,3.061951458
3.656268689,4.063257987,3.699884495,2.970959249
3.656268689,3.350302378,3.412464125,2.696617312
3.656268689,3.891774137,3.984342778,1.993162636
3.656268689,4.087157403,4.290603304,4.307440661
3.656268689,4.807172317,4.774693588,5.978674624
3.656268689,3.496816904,3.406752666,2.461232502
3.656268689,3.045190056,2.78930059,2.978543127
3.656268689,3.318246386,3.457898468,3.733678004
3.656268689,2.547657018,2.569965698,2.711839921
3.656268689,3.623004418,3.648617088,3.495565367
3.656268689,4.43285182,4.119432896,5.038563163
3.656268689,4.172413713,4.132210239,4.246833918
3.656268689,4.380830884,4.550084766,3.374621355
3.656268689,3.633688464,3.633316311,2.738849123
3.656268689,2.317784242,2.50556291,1.92984466
3.656268689,2.787882103,2.756834354,2.457214249
3.656268689,3.847512762,3.824501535,3.904876578
3.656268689,4.665873292,4.953397101,5.477782246
3.656268689,2.517783105,2.471178033,3.448899772
3.656268689,2.70075235,2.956732126,2.223990068
3.656268689,3.3779583,3.380870432,3.999809655
3.656268689,3.781815721,3.57857404,5.071094578
3.656268689,3.007856418,3.010751322,2.318579509
3.656268689,4.057990063,3.978029914,3.546131854
3.656268689,3.298356903,3.472998382,2.526684403
3.656268689,4.007236962,3.863177548,4.170349464
3.656268689,3.75850959,3.852119346,3.362043321
3.656268689,5.126779815,5.120558186,4.641306216
3.656268689,3.981457324,4.222284276,4.427180288
3.656268689,3.946095536,3.824024673,4.410301136
3.656268689,3.944158015,3.858871354,3.807361936
3.656268689,4.079977129,4.303153681,3.577472874
3.656268689,2.695856508,2.790260276,3.231056282
3.656268689,1.852556051,2.111624652,-0.664437198
3.656268689,3.725068711,3.562060563,3.454586504
3.656268689,4.110714265,4.189397371,4.178498467
3.656268689,4.202575515,4.118963427,4.107728091
3.656268689,4.110766049,4.132044455,3.259501209
3.656268689,4.521503672,4.890908029,5.072242258
3.656268689,4.718549788,4.435912513,4.511991207
3.656268689,3.697379622,3.776980702,4.516473973
3.656268689,4.439651457,4.293373467,5.165538892
3.656268689,3.35191147,3.136689395,3.323088336
3.656268689,4.58732957,4.480813697,4.226950348
3.656268689,3.148034238,3.18102815,4.992898196
3.656268689,2.427519928,2.485772683,2.952015929
3.656268689,2.923584331,2.90877226,2.919817881
3.656268689,2.682635266,2.834211957,2.217095187
3.656268689,4.291179028,3.960941679,4.076326273
3.656268689,3.462575419,3.220802948,3.116627211
3.656268689,3.708282914,3.640895256,4.069417042
3.656268689,4.129746683,3.904768562,5.54916107
3.656268689,4.056575479,3.923453721,4.074601944
3.656268689,2.648745841,2.566998937,2.0887667
3.656268689,3.520212207,3.141589167,3.135190081
3.656268689,3.634619849,3.719864268,3.798950104
3.656268689,3.858516962,3.711928755,2.001636533
3.656268689,3.69629531,3.543936894,3.937037788
3.656268689,5.398401489,5.178221229,5.182061886
3.656268689,4.389589979,4.223886551,4.02939741
3.656268689,4.805802212,4.885587748,4.596113828
3.656268689,2.275297849,2.725227446,1.50484012
3.656268689,3.340942257,3.083536859,3.840150355
3.656268689,3.882328788,3.835332606,3.649846365
3.656268689,3.863807405,3.982230197,5.21699078
3.656268689,4.381029664,4.267911884,4.936550306
3.656268689,3.773173845,3.765181314,3.268699334
3.656268689,3.526000196,3.519817439,4.461756262
3.656268689,3.746378263,3.440700624,3.035772821
3.656268689,4.544036259,4.467334292,3.929757442
3.656268689,3.582228488,3.405739971,3.198066687
3.656268689,4.153518346,3.923481759,4.884752859
3.656268689,3.501453409,3.55514967,3.175128694
3.656268689,2.49709217,2.395133451,2.078150462
3.656268689,2.465840188,2.086881505,1.857729112
3.656268689,3.351470841,2.756355463,5.359766363
3.656268689,4.551686741,4.626783885,3.563712511
3.656268689,4.177262805,3.895871568,3.144726691
3.656268689,3.308857082,2.971458715,3.320893383
3.656268689,3.717435309,3.378080008,2.930403888
3.656268689,3.255869542,3.174011595,3.030888801
3.656268689,3.223628259,3.10890949,3.238477389
3.656268689,3.900492234,3.946823024,4.145487901
3.656268689,4.651114287,4.771319317,4.85100597
3.656268689,3.115009,3.074728972,2.293353388
3.656268689,3.259254142,3.408307867,3.831592429
3.656268689,2.763774548,2.287142731,2.825576844
3.656268689,4.1872981,3.902151913,4.230809573
3.656268689,4.263629273,4.258015024,3.845911339
3.656268689,3.517939235,3.611447044,5.030967058
3.656268689,3.270475284,3.300452811,2.368791339
3.656268689,4.723672724,4.772072159,4.849961122
3.656268689,3.224591881,3.686449259,3.705495658
3.656268689,4.124994685,4.158573218,4.742770394
3.656268689,3.585073112,3.400360391,5.121117493
3.656268689,3.998521744,3.546741613,4.673419993
3.656268689,5.116370731,4.69023744,4.392559394
3.656268689,4.568316245,4.464192801,3.105520262
3.656268689,3.415930621,3.339654958,2.425782879
3.656268689,2.726510558,2.74491629,3.406795183
3.656268689,4.428095628,4.286797931,4.536677409
3.656268689,4.518975216,4.358953253,4.513430773
3.656268689,3.279080041,3.24164468,3.149563209
3.656268689,2.700758993,2.849063515,3.556778616
3.656268689,4.626916681,4.543234439,4.20531792
3.656268689,3.535914125,3.333201945,2.650549094
3.656268689,3.694957397,3.692598406,4.298358932
3.656268689,2.599484363,2.843945919,2.470798321
3.656268689,2.516358861,2.67024078,2.851484153
3.656268689,3.938746015,3.943189458,4.665911107
3.656268689,3.383366231,3.387688091,3.941439046
3.656268689,4.224481721,4.348527366,5.486072389
3.656268689,3.910700133,4.151866505,4.409737536
3.656268689,3.133760633,3.16968679,1.765414693
3.656268689,4.179178176,4.228621392,3.883571835
3.656268689,2.344801195,2.336916411,2.573934572
3.656268689,3.671607062,3.665829628,4.240927083
3.656268689,3.556718689,3.61537668,3.768223148
3.656268689,3.802512254,3.819571717,4.315577336
3.656268689,3.386706462,3.248957048,3.499794339
3.656268689,3.833080715,3.955875467,3.502765196
3.656268689,3.783848002,3.634342188,3.76237673
3.656268689,2.945255598,3.128761512,1.876620452
3.656268689,4.266360512,3.824143962,4.559898227
3.656268689,2.490940045,2.476294294,3.046630778
3.656268689,3.89383833,3.772762398,2.916695423
3.656268689,3.30175924,3.453144408,3.271626147
3.656268689,4.487243153,4.343019658,3.133351553
3.656268689,2.608587798,2.521599109,2.7685928
3.656268689,4.287029917,4.104094684,4.046748378
3.656268689,4.744979724,4.360672976,5.173086738
3.656268689,2.729438791,3.200430048,2.810925315
3.656268689,3.836396325,3.753682703,4.090728414
3.656268689,3.897326484,3.967159628,2.854804185
3.656268689,4.043062306,4.06559472,3.419861375
